02/16/21 13:21:18
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
16, 12:53, W29G42, 16, Fair, CLR, 21.7, 4.4, , , 32%, NA, NA, 76.07, 1014.3, , , 
---
Incident number, relative time since start, timestamp
1, 0.37351894401945174, 2021-02-16 13:21:22.662187
2, 1.5459336079948116, 2021-02-16 13:21:23.834634
3, 2.6533391700068023, 2021-02-16 13:21:24.942036
4, 2.738627903017914, 2021-02-16 13:21:25.027332
5, 3.4519923180050682, 2021-02-16 13:21:25.740696
6, 5.977367779996712, 2021-02-16 13:21:28.266062
7, 6.7706673970096745, 2021-02-16 13:21:29.059367
8, 7.18612465300248, 2021-02-16 13:21:29.474826
9, 8.884809903014684, 2021-02-16 13:21:31.173505
10, 9.26640404300997, 2021-02-16 13:21:31.555106
11, 10.93684365900117, 2021-02-16 13:21:33.225542
12, 12.309308341005817, 2021-02-16 13:21:34.598008
13, 13.657008085021516, 2021-02-16 13:21:35.945709
14, 13.67858639699989, 2021-02-16 13:21:35.967291
15, 14.971794248005608, 2021-02-16 13:21:37.260494
16, 17.928020249994006, 2021-02-16 13:21:40.216717
17, 19.745044361014152, 2021-02-16 13:21:42.033745
