02/16/21 15:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
16, 15:53, W35G53, 16, Fair and Breezy, CLR, 17.8, 6.7, 22.2, 17.8, 48%, NA, NA, 76.05, 1013.8, , , 
---
Minute since start, Events per minute
1, 85
2, 77
3, 77
4, 72
5, 79
6, 83
7, 70
8, 90
9, 85
10, 66
11, 93
12, 77
13, 85
14, 86
15, 95
16, 92
17, 74
18, 82
19, 66
20, 93
21, 85
22, 86
23, 97
24, 73
25, 103
26, 78
27, 82
28, 84
29, 85
30, 85
31, 88
32, 74
33, 82
34, 89
35, 82
36, 89
37, 87
38, 75
39, 89
40, 80
41, 89
42, 73
43, 76
44, 81
45, 76
46, 78
47, 87
48, 85
49, 108
50, 114
51, 90
52, 75
53, 84
54, 61
55, 90
56, 89
57, 91
58, 77
59, 85
60, 77
