02/16/21 20:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
16, 20:53, Calm, 16, Fair, CLR, 12.8, 5, , , 59%, NA, NA, 76.23, 1016.0, , , 
---
Minute since start, Events per minute
1, 97
2, 74
3, 81
4, 72
5, 86
6, 77
7, 115
8, 71
9, 84
10, 92
11, 58
12, 82
13, 90
14, 80
15, 79
16, 82
17, 80
18, 76
19, 88
20, 83
21, 109
22, 89
23, 89
24, 79
25, 75
26, 79
27, 78
28, 92
29, 78
30, 84
31, 88
32, 75
33, 85
34, 98
35, 77
36, 84
37, 64
38, 93
39, 85
40, 86
41, 89
42, 82
43, 86
44, 84
45, 99
46, 100
47, 78
48, 87
49, 66
50, 97
51, 95
52, 76
53, 62
54, 90
55, 83
56, 95
57, 90
58, 93
59, 77
60, 102
