02/17/21 12:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
17, 13:53, NW26G42, 16, Fair, CLR, 21.7, -5, , , 16%, NA, NA, 76.15, 1015.1, , , 
---
Minute since start, Events per minute
1, 85
2, 90
3, 76
4, 82
5, 87
6, 99
7, 82
8, 81
9, 89
10, 74
11, 78
12, 68
13, 103
14, 90
15, 90
16, 89
17, 101
18, 88
19, 78
20, 103
21, 89
22, 80
23, 89
24, 77
25, 90
26, 83
27, 81
28, 91
29, 92
30, 96
31, 72
32, 81
33, 62
34, 88
35, 82
36, 92
37, 91
38, 79
39, 80
40, 103
41, 72
42, 90
43, 80
44, 86
45, 84
46, 87
47, 89
48, 85
49, 86
50, 105
51, 84
52, 71
53, 74
54, 80
55, 93
56, 83
57, 74
58, 90
59, 95
60, 96
