02/17/21 15:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
17, 15:53, NE24G39, 16, Fair, CLR, 20.6, -6.7, 22.8, 17.2, 15%, NA, NA, 76.17, 1015.7, , , 
---
Minute since start, Events per minute
1, 77
2, 80
3, 94
4, 88
5, 72
6, 83
7, 92
8, 78
9, 83
10, 99
11, 88
12, 75
13, 75
14, 80
15, 83
16, 74
17, 85
18, 76
19, 89
20, 94
21, 102
22, 88
23, 81
24, 86
25, 86
26, 68
27, 78
28, 90
29, 86
30, 71
31, 91
32, 87
33, 84
34, 97
35, 76
36, 87
37, 96
38, 98
39, 94
40, 85
41, 84
42, 73
43, 96
44, 91
45, 84
46, 94
47, 91
48, 91
49, 89
50, 80
51, 95
52, 84
53, 86
54, 58
55, 81
56, 86
57, 82
58, 97
59, 76
60, 81
