02/17/21 17:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
17, 17:53, N21, 16, Fair, CLR, 17.2, -7.2, , , 18%, NA, NA, 76.33, 1017.6, , , 
---
Incident number, relative time since start, timestamp
1, 0.28289973200298846, 2021-02-17 18:00:02.940571
2, 0.5774779110070085, 2021-02-17 18:00:03.235176
3, 0.9880277089978335, 2021-02-17 18:00:03.645724
4, 1.5879533260012977, 2021-02-17 18:00:04.245667
5, 3.3056648829951882, 2021-02-17 18:00:05.963380
6, 4.153897174997837, 2021-02-17 18:00:06.811613
7, 4.931824915998732, 2021-02-17 18:00:07.589540
8, 5.015343388004112, 2021-02-17 18:00:07.673061
9, 7.128456788006588, 2021-02-17 18:00:09.786162
10, 7.350472656995407, 2021-02-17 18:00:10.008188
11, 7.675988689996302, 2021-02-17 18:00:10.333706
12, 7.787814730996615, 2021-02-17 18:00:10.445532
13, 9.769656029006, 2021-02-17 18:00:12.427368
14, 9.776969996004482, 2021-02-17 18:00:12.434688
15, 9.817862366995541, 2021-02-17 18:00:12.475580
16, 9.840014226007042, 2021-02-17 18:00:12.497732
17, 11.756216611000127, 2021-02-17 18:00:14.413929
18, 11.832926977003808, 2021-02-17 18:00:14.490645
19, 13.164555095994729, 2021-02-17 18:00:15.822271
20, 14.113032098000986, 2021-02-17 18:00:16.770749
21, 14.302422933993512, 2021-02-17 18:00:16.960137
22, 14.46720900699438, 2021-02-17 18:00:17.124926
23, 15.245873206993565, 2021-02-17 18:00:17.903587
24, 15.50002678000601, 2021-02-17 18:00:18.157744
25, 16.812549331996706, 2021-02-17 18:00:19.470263
26, 17.165827087999787, 2021-02-17 18:00:19.823544
27, 17.520470283998293, 2021-02-17 18:00:20.178187
28, 18.309238861998892, 2021-02-17 18:00:20.966956
29, 20.302904134994606, 2021-02-17 18:00:22.960619
30, 20.506842736998806, 2021-02-17 18:00:23.164559
31, 20.73549172800267, 2021-02-17 18:00:23.393210
32, 21.46490895500756, 2021-02-17 18:00:24.122626
33, 22.343366172004608, 2021-02-17 18:00:25.001084
34, 22.767866718000732, 2021-02-17 18:00:25.425585
35, 25.730045032003545, 2021-02-17 18:00:28.387760
36, 25.935228925998672, 2021-02-17 18:00:28.592947
37, 26.00881697400473, 2021-02-17 18:00:28.666535
38, 26.593896866004798, 2021-02-17 18:00:29.251614
39, 26.914546383006382, 2021-02-17 18:00:29.572264
40, 27.565931724995608, 2021-02-17 18:00:30.223650
41, 27.768490164002287, 2021-02-17 18:00:30.426208
42, 27.902437451004516, 2021-02-17 18:00:30.560156
43, 29.378223876003176, 2021-02-17 18:00:32.035942
44, 29.406077730003744, 2021-02-17 18:00:32.063796
45, 29.84456801399938, 2021-02-17 18:00:32.502286
46, 32.002100733006955, 2021-02-17 18:00:34.659817
47, 32.90785832000256, 2021-02-17 18:00:35.565576
48, 34.540661366001586, 2021-02-17 18:00:37.198371
49, 35.92812767199939, 2021-02-17 18:00:38.585833
50, 36.23285038600443, 2021-02-17 18:00:38.890565
51, 36.670689325997955, 2021-02-17 18:00:39.328406
52, 38.192558035007096, 2021-02-17 18:00:40.850270
53, 40.54187805800757, 2021-02-17 18:00:43.199590
54, 40.69189813999401, 2021-02-17 18:00:43.349616
55, 41.43879652999749, 2021-02-17 18:00:44.096511
56, 41.923659934007446, 2021-02-17 18:00:44.581376
57, 42.51020928900107, 2021-02-17 18:00:45.167926
58, 44.92323738800769, 2021-02-17 18:00:47.580952
59, 45.056272966001416, 2021-02-17 18:00:47.713991
60, 45.5542129020032, 2021-02-17 18:00:48.211931
61, 46.425384015004965, 2021-02-17 18:00:49.083102
62, 47.16821117399377, 2021-02-17 18:00:49.825922
63, 47.40977808399475, 2021-02-17 18:00:50.067486
64, 48.02451078299782, 2021-02-17 18:00:50.682228
65, 48.90298597200308, 2021-02-17 18:00:51.560702
66, 49.43441395800619, 2021-02-17 18:00:52.092129
67, 49.704498874998535, 2021-02-17 18:00:52.362217
68, 49.83397431000776, 2021-02-17 18:00:52.491693
69, 50.586826718004886, 2021-02-17 18:00:53.244544
70, 51.29278132399486, 2021-02-17 18:00:53.950499
71, 52.18089334300021, 2021-02-17 18:00:54.838610
72, 53.42544273400563, 2021-02-17 18:00:56.083160
73, 55.74192267100443, 2021-02-17 18:00:58.399639
74, 56.620855771005154, 2021-02-17 18:00:59.278570
75, 56.82780525600538, 2021-02-17 18:00:59.485520
76, 57.40242617799959, 2021-02-17 18:01:00.060141
77, 57.592585398000665, 2021-02-17 18:01:00.250304
78, 57.65694413900201, 2021-02-17 18:01:00.314662
79, 59.359819356002845, 2021-02-17 18:01:02.017534
80, 59.85826960900158, 2021-02-17 18:01:02.515987
81, 60.47566236399871, 2021-02-17 18:01:03.133379
82, 60.87776007500361, 2021-02-17 18:01:03.535477
83, 61.735135466995416, 2021-02-17 18:01:04.392851
84, 62.37239489700005, 2021-02-17 18:01:05.030113
85, 62.73640732000058, 2021-02-17 18:01:05.394126
86, 63.066888710003695, 2021-02-17 18:01:05.724607
87, 65.08750424699974, 2021-02-17 18:01:07.745222
88, 65.74254659000144, 2021-02-17 18:01:08.400263
89, 66.75579617600306, 2021-02-17 18:01:09.413513
90, 66.80070458599948, 2021-02-17 18:01:09.458423
91, 66.90152316099557, 2021-02-17 18:01:09.559241
92, 67.18518150500313, 2021-02-17 18:01:09.842899
93, 67.25540077500045, 2021-02-17 18:01:09.913119
94, 70.0820821840025, 2021-02-17 18:01:12.739797
95, 70.96309254800144, 2021-02-17 18:01:13.620806
96, 71.40922055000556, 2021-02-17 18:01:14.066937
97, 72.05715852900175, 2021-02-17 18:01:14.714875
98, 72.74993097499828, 2021-02-17 18:01:15.407649
99, 73.0216451909946, 2021-02-17 18:01:15.679363
100, 73.0618533490051, 2021-02-17 18:01:15.719572
101, 74.16784689899941, 2021-02-17 18:01:16.825559
102, 74.62086974299746, 2021-02-17 18:01:17.278584
103, 74.7535727469949, 2021-02-17 18:01:17.411291
104, 75.4274967389938, 2021-02-17 18:01:18.085212
105, 75.52442336099921, 2021-02-17 18:01:18.182141
106, 75.81980974100588, 2021-02-17 18:01:18.477527
107, 77.06644200799929, 2021-02-17 18:01:19.724155
108, 77.21096999300062, 2021-02-17 18:01:19.868688
109, 77.70047692699882, 2021-02-17 18:01:20.358191
110, 78.26299993299472, 2021-02-17 18:01:20.920716
111, 79.1693162599986, 2021-02-17 18:01:21.827033
112, 79.87709501500649, 2021-02-17 18:01:22.534811
113, 80.99330256599933, 2021-02-17 18:01:23.651018
114, 81.0370957730047, 2021-02-17 18:01:23.694814
115, 81.9055291209952, 2021-02-17 18:01:24.563246
116, 82.38226481100719, 2021-02-17 18:01:25.039983
117, 82.834102281995, 2021-02-17 18:01:25.491820
118, 82.88596744199458, 2021-02-17 18:01:25.543686
119, 83.58902525699523, 2021-02-17 18:01:26.246743
120, 84.85526006300643, 2021-02-17 18:01:27.512977
121, 84.90959542100609, 2021-02-17 18:01:27.567313
122, 86.6536925410037, 2021-02-17 18:01:29.311405
123, 87.39555120200384, 2021-02-17 18:01:30.053264
124, 87.95964047100279, 2021-02-17 18:01:30.617358
125, 88.22576422400016, 2021-02-17 18:01:30.883482
126, 89.58914958499372, 2021-02-17 18:01:32.246866
127, 90.41258644399932, 2021-02-17 18:01:33.070300
128, 91.42453219200252, 2021-02-17 18:01:34.082248
129, 91.9561500580021, 2021-02-17 18:01:34.613868
130, 93.21771806299512, 2021-02-17 18:01:35.875435
131, 93.4402069390053, 2021-02-17 18:01:36.097925
132, 93.99551356000302, 2021-02-17 18:01:36.653232
133, 94.86202674500237, 2021-02-17 18:01:37.519745
134, 95.28283232099784, 2021-02-17 18:01:37.940550
