02/17/21 20:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
17, 21:53, NE14, 16, Fair, CLR, 15, -9.4, 20.6, 13.9, 18%, NA, NA, 76.56, 1020.5, , , 
---
Minute since start, Events per minute
1, 73
2, 90
3, 65
4, 80
5, 81
6, 94
7, 73
8, 92
9, 89
10, 86
11, 85
12, 89
13, 85
14, 83
15, 72
16, 86
17, 73
18, 93
19, 92
20, 80
21, 93
22, 86
23, 76
24, 87
25, 84
26, 77
27, 84
28, 78
29, 86
30, 82
31, 99
32, 84
33, 78
34, 107
35, 87
36, 71
37, 97
38, 90
39, 86
40, 88
41, 89
42, 97
43, 79
44, 61
45, 67
46, 79
47, 81
48, 91
49, 92
50, 75
51, 76
52, 75
53, 86
54, 88
55, 79
56, 81
57, 81
58, 73
59, 78
60, 84
