02/18/21 08:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
18, 08:53, SE5, 16, Fair, CLR, 15, 0, , , 36%, NA, NA, 77.04, 1027.0, , , 
---
Minute since start, Events per minute
1, 60
2, 83
3, 79
4, 89
5, 81
6, 97
7, 94
8, 92
9, 98
10, 80
11, 85
12, 94
13, 75
14, 82
15, 81
16, 79
17, 93
18, 78
19, 88
20, 96
21, 92
22, 91
23, 88
24, 96
25, 81
26, 83
27, 81
28, 79
29, 71
30, 101
31, 92
32, 96
33, 90
34, 80
35, 91
36, 80
37, 78
38, 77
39, 82
40, 77
41, 84
42, 75
43, 93
44, 89
45, 91
46, 75
47, 85
48, 83
49, 71
50, 86
51, 79
52, 71
53, 94
54, 97
55, 96
56, 72
57, 77
58, 84
59, 73
60, 85
