02/19/21 16:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
19, 16:53, SE10, 16, Fair, CLR, 15, 8.3, , , 64%, NA, NA, 76.5, 1020.0, , , 
---
Minute since start, Events per minute
1, 72
2, 88
3, 94
4, 82
5, 85
6, 86
7, 95
8, 74
9, 100
10, 93
11, 70
12, 86
13, 110
14, 81
15, 72
16, 82
17, 83
18, 75
19, 90
20, 85
21, 80
22, 97
23, 76
24, 84
25, 91
26, 76
27, 80
28, 86
29, 74
30, 84
31, 91
32, 98
33, 76
34, 81
35, 94
36, 66
37, 94
38, 61
39, 89
40, 88
41, 78
42, 85
43, 74
44, 97
45, 95
46, 91
47, 88
48, 64
49, 86
50, 84
51, 76
52, 94
53, 79
54, 91
55, 78
56, 74
57, 89
58, 84
59, 72
60, 76
61, 1
