02/20/21 13:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
20, 13:53, NW29G56, 16, Fair, CLR, 21.1, -3.9, , , 18%, NA, NA, 76.5, 1020.0, , , 
---
Minute since start, Events per minute
1, 71
2, 79
3, 79
4, 83
5, 76
6, 82
7, 72
8, 95
9, 89
10, 91
11, 86
12, 72
13, 86
14, 77
15, 80
16, 91
17, 94
18, 83
19, 70
20, 82
21, 90
22, 91
23, 91
24, 90
25, 93
26, 72
27, 79
28, 87
29, 82
30, 84
31, 94
32, 83
33, 99
34, 96
35, 95
36, 94
37, 95
38, 91
39, 86
40, 79
41, 102
42, 86
43, 80
44, 85
45, 90
46, 88
47, 78
48, 94
49, 68
50, 83
51, 94
52, 72
53, 104
54, 82
55, 90
56, 97
57, 78
58, 80
59, 73
60, 90
61, 1
