02/20/21 15:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
20, 16:53, N23G39, 16, Fair, CLR, 18.3, -3.3, , , 23%, NA, NA, 76.56, 1020.4, , , 
---
Minute since start, Events per minute
1, 82
2, 76
3, 90
4, 81
5, 94
6, 90
7, 70
8, 79
9, 91
10, 79
11, 74
12, 94
13, 76
14, 80
15, 76
16, 87
17, 79
18, 75
19, 77
20, 93
21, 79
22, 89
23, 93
24, 77
25, 75
26, 67
27, 80
28, 75
29, 74
30, 67
31, 81
32, 64
33, 95
34, 75
35, 88
36, 80
37, 85
38, 85
39, 100
40, 100
41, 100
42, 93
43, 85
44, 83
45, 90
46, 101
47, 90
48, 73
49, 79
50, 87
51, 79
52, 78
53, 102
54, 91
55, 82
56, 75
57, 76
58, 85
59, 90
60, 84
