02/21/21 00:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
21, 00:53, N16, 16, Fair, CLR, 13.9, -3.3, , , 30%, NA, NA, 76.86, 1024.7, , , 
---
Minute since start, Events per minute
1, 91
2, 87
3, 76
4, 77
5, 81
6, 93
7, 83
8, 90
9, 101
10, 95
11, 87
12, 94
13, 90
14, 86
15, 82
16, 96
17, 92
18, 77
19, 93
20, 77
21, 87
22, 78
23, 69
24, 99
25, 92
26, 87
27, 96
28, 85
29, 83
30, 84
31, 76
32, 75
33, 77
34, 71
35, 83
36, 76
37, 70
38, 87
39, 58
40, 86
41, 64
42, 79
43, 73
44, 88
45, 89
46, 80
47, 73
48, 86
49, 72
50, 88
51, 80
52, 87
53, 81
54, 69
55, 101
56, 84
57, 81
58, 91
59, 85
60, 94
