02/21/21 14:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
21, 14:53, W13, 16, Fair, CLR, 20, -1.7, , , 23%, NA, NA, 76.91, 1025.2, , , 
---
Minute since start, Events per minute
1, 81
2, 93
3, 98
4, 77
5, 83
6, 72
7, 89
8, 92
9, 68
10, 62
11, 73
12, 81
13, 92
14, 86
15, 85
16, 79
17, 85
18, 77
19, 83
20, 89
21, 78
22, 81
23, 77
24, 89
25, 83
26, 67
27, 72
28, 86
29, 65
30, 76
31, 77
32, 93
33, 77
34, 69
35, 77
36, 79
37, 94
38, 72
39, 87
40, 73
41, 101
42, 83
43, 71
44, 88
45, 85
46, 103
47, 94
48, 90
49, 85
50, 78
51, 80
52, 92
53, 88
54, 82
55, 78
56, 68
57, 84
58, 81
59, 85
60, 81
