02/21/21 17:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
21, 17:53, W10, 16, Fair, CLR, 15.6, -2.2, , , 30%, NA, NA, 76.84, 1024.3, , , 
---
Minute since start, Events per minute
1, 69
2, 96
3, 82
4, 81
5, 78
6, 81
7, 98
8, 74
9, 102
10, 96
11, 90
12, 85
13, 79
14, 89
15, 60
16, 96
17, 80
18, 89
19, 87
20, 88
21, 87
22, 78
23, 82
24, 93
25, 84
26, 111
27, 87
28, 92
29, 87
30, 76
31, 98
32, 103
33, 75
34, 67
35, 97
36, 81
37, 75
38, 79
39, 72
40, 74
41, 88
42, 77
43, 85
44, 80
45, 78
46, 75
47, 84
48, 65
49, 87
50, 93
51, 93
52, 75
53, 66
54, 89
55, 95
56, 78
57, 83
58, 81
59, 87
60, 76
61, 1
