02/21/21 01:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
21, 01:53, NA, 16, Fair, CLR, 13.3, -3.9, , , 30%, NA, NA, 76.84, 1024.3, , , 
---
Minute since start, Events per minute
1, 69
2, 91
3, 84
4, 71
5, 95
6, 86
7, 69
8, 73
9, 80
10, 87
11, 79
12, 75
13, 78
14, 80
15, 77
16, 77
17, 78
18, 75
19, 82
20, 71
21, 70
22, 88
23, 80
24, 91
25, 94
26, 69
27, 91
28, 68
29, 83
30, 85
31, 81
32, 64
33, 76
34, 86
35, 71
36, 97
37, 87
38, 104
39, 106
40, 81
41, 78
42, 96
43, 85
44, 88
45, 85
46, 87
47, 72
48, 89
49, 77
50, 82
51, 88
52, 87
53, 84
54, 89
55, 81
56, 85
57, 70
58, 71
59, 86
60, 87
