02/21/21 21:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
21, 21:53, Calm, 16, Fair, CLR, 8.3, 1.7, 18.3, 8.3, 63%, NA, NA, 76.86, 1024.7, , , 
---
Minute since start, Events per minute
1, 79
2, 84
3, 87
4, 78
5, 90
6, 91
7, 82
8, 77
9, 94
10, 85
11, 85
12, 80
13, 87
14, 70
15, 80
16, 74
17, 73
18, 83
19, 78
20, 67
21, 84
22, 86
23, 84
24, 78
25, 81
26, 103
27, 98
28, 82
29, 81
30, 66
31, 88
32, 68
33, 83
34, 83
35, 79
36, 80
37, 72
38, 68
39, 78
40, 76
41, 87
42, 80
43, 76
44, 97
45, 81
46, 79
47, 89
48, 91
49, 84
50, 83
51, 86
52, 69
53, 86
54, 83
55, 84
56, 62
57, 78
58, 79
59, 89
60, 76
