02/21/21 02:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
21, 02:53, W10, 16, Fair, CLR, 9.4, -2.2, , , 44%, 7.8, NA, 76.84, 1024.2, , , 
---
Incident number, relative time since start, timestamp
1, 1.8752407950232737, 2021-02-21 03:00:04.051592
2, 2.293574281036854, 2021-02-21 03:00:04.469966
3, 2.7754134309943765, 2021-02-21 03:00:04.951802
4, 2.8799836250254884, 2021-02-21 03:00:05.056354
5, 3.105515170027502, 2021-02-21 03:00:05.281903
6, 3.9475169359939173, 2021-02-21 03:00:06.123918
7, 4.100841915991623, 2021-02-21 03:00:06.277248
8, 5.064702930045314, 2021-02-21 03:00:07.241108
9, 5.109348080994096, 2021-02-21 03:00:07.285754
10, 5.558854515023995, 2021-02-21 03:00:07.735260
11, 6.332919409032911, 2021-02-21 03:00:08.509326
12, 6.851310952042695, 2021-02-21 03:00:09.027713
13, 6.891340840025805, 2021-02-21 03:00:09.067747
14, 7.552722662047017, 2021-02-21 03:00:09.729128
15, 8.97715628304286, 2021-02-21 03:00:11.153561
16, 9.716412681038491, 2021-02-21 03:00:11.892819
17, 9.792538964014966, 2021-02-21 03:00:11.968945
18, 11.352558907005005, 2021-02-21 03:00:13.528959
19, 12.843952455034014, 2021-02-21 03:00:15.020353
20, 12.882601922028698, 2021-02-21 03:00:15.059006
21, 13.377164481033105, 2021-02-21 03:00:15.553570
22, 13.473567771026865, 2021-02-21 03:00:15.649974
23, 13.645017902017571, 2021-02-21 03:00:15.821424
24, 13.675109322997741, 2021-02-21 03:00:15.851516
25, 14.820805869007017, 2021-02-21 03:00:16.997212
26, 16.133820260001812, 2021-02-21 03:00:18.310218
27, 17.58751091704471, 2021-02-21 03:00:19.763912
28, 18.164618041017093, 2021-02-21 03:00:20.341024
29, 19.52716852503363, 2021-02-21 03:00:21.703574
30, 20.280934269016143, 2021-02-21 03:00:22.457338
31, 20.59175800799858, 2021-02-21 03:00:22.768164
32, 20.598433603998274, 2021-02-21 03:00:22.774840
33, 21.053606820991263, 2021-02-21 03:00:23.230013
34, 21.275146334024612, 2021-02-21 03:00:23.451553
35, 21.55726508400403, 2021-02-21 03:00:23.733671
36, 22.001954392006155, 2021-02-21 03:00:24.178361
37, 22.377635117038153, 2021-02-21 03:00:24.554041
38, 22.45747190702241, 2021-02-21 03:00:24.633878
39, 22.483286412025336, 2021-02-21 03:00:24.659693
40, 22.71152155403979, 2021-02-21 03:00:24.887928
41, 22.813876041036565, 2021-02-21 03:00:24.990283
42, 22.822403067024425, 2021-02-21 03:00:24.998810
43, 24.452244515006896, 2021-02-21 03:00:26.628650
44, 24.506622963002883, 2021-02-21 03:00:26.683029
45, 26.287331979023293, 2021-02-21 03:00:28.463737
46, 26.82431260001613, 2021-02-21 03:00:29.000718
47, 27.144504372030497, 2021-02-21 03:00:29.320910
48, 27.453246176999528, 2021-02-21 03:00:29.629652
49, 27.669997813994996, 2021-02-21 03:00:29.846404
50, 27.968311420991085, 2021-02-21 03:00:30.144718
51, 27.970373923017178, 2021-02-21 03:00:30.146781
52, 29.355474137002602, 2021-02-21 03:00:31.531879
53, 29.810029468033463, 2021-02-21 03:00:31.986436
54, 30.053859491017647, 2021-02-21 03:00:32.230265
55, 30.159141364041716, 2021-02-21 03:00:32.335548
56, 30.56528453202918, 2021-02-21 03:00:32.741691
57, 30.72689905401785, 2021-02-21 03:00:32.903305
58, 32.0483635510318, 2021-02-21 03:00:34.224769
59, 32.259300047007855, 2021-02-21 03:00:34.435706
60, 33.83543605799787, 2021-02-21 03:00:36.011839
61, 33.984212762035895, 2021-02-21 03:00:36.160619
62, 34.149962573021185, 2021-02-21 03:00:36.326369
63, 34.6270213490352, 2021-02-21 03:00:36.803428
64, 34.645438184030354, 2021-02-21 03:00:36.821845
65, 35.07083981100004, 2021-02-21 03:00:37.247242
66, 36.17585424601566, 2021-02-21 03:00:38.352260
67, 36.50941687403247, 2021-02-21 03:00:38.685823
68, 36.55716480704723, 2021-02-21 03:00:38.733571
69, 36.91688553901622, 2021-02-21 03:00:39.093292
70, 37.95697497599758, 2021-02-21 03:00:40.133380
71, 38.59533012303291, 2021-02-21 03:00:40.771736
