02/21/21 03:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
21, 03:53, Vrbl5, 16, Fair, CLR, 6.7, -1.7, 15, 6.7, 55%, NA, NA, 76.86, 1024.8, , , 
---
Minute since start, Events per minute
1, 87
2, 95
3, 89
4, 77
5, 87
6, 79
7, 99
8, 83
9, 97
10, 86
11, 97
12, 92
13, 86
14, 80
15, 66
16, 83
17, 88
18, 54
19, 85
20, 91
21, 88
22, 97
23, 70
24, 71
25, 79
26, 75
27, 83
28, 105
29, 83
30, 78
31, 80
32, 74
33, 84
34, 103
35, 79
36, 68
37, 93
38, 98
39, 67
40, 94
41, 86
42, 83
43, 87
44, 91
45, 84
46, 58
47, 85
48, 70
49, 87
50, 83
51, 95
52, 86
53, 78
54, 91
55, 83
56, 74
57, 71
58, 79
59, 87
60, 86
