02/21/21 03:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
21, 03:53, Vrbl5, 16, Fair, CLR, 6.7, -1.7, 15, 6.7, 55%, NA, NA, 76.86, 1024.8, , , 
---
Incident number, relative time since start, timestamp
1, 0.3942478600074537, 2021-02-21 04:00:02.477608
2, 0.5002762660151348, 2021-02-21 04:00:02.583678
3, 2.1539956179913133, 2021-02-21 04:00:04.237394
4, 2.1776204089983366, 2021-02-21 04:00:04.261037
5, 2.282641908968799, 2021-02-21 04:00:04.366059
6, 3.06011415499961, 2021-02-21 04:00:05.143530
7, 3.0680504299816675, 2021-02-21 04:00:05.151468
8, 3.26244757900713, 2021-02-21 04:00:05.345865
9, 3.7459948880132288, 2021-02-21 04:00:05.829411
10, 4.594397728971671, 2021-02-21 04:00:06.677814
11, 5.095127951004542, 2021-02-21 04:00:07.178545
12, 6.069616446970031, 2021-02-21 04:00:08.153030
13, 7.165506445977371, 2021-02-21 04:00:09.248919
14, 7.742010262969416, 2021-02-21 04:00:09.825426
15, 8.23326366697438, 2021-02-21 04:00:10.316680
16, 8.544354612997267, 2021-02-21 04:00:10.627772
17, 8.961131139018107, 2021-02-21 04:00:11.044548
18, 10.01829654397443, 2021-02-21 04:00:12.101713
19, 10.832711423980072, 2021-02-21 04:00:12.916127
20, 11.5741260459763, 2021-02-21 04:00:13.657543
21, 11.634295474970713, 2021-02-21 04:00:13.717713
22, 12.20329195499653, 2021-02-21 04:00:14.286709
23, 12.59092451800825, 2021-02-21 04:00:14.674341
24, 12.823887766979169, 2021-02-21 04:00:14.907305
25, 15.712229825963732, 2021-02-21 04:00:17.795643
26, 16.226662272005342, 2021-02-21 04:00:18.310079
27, 16.295057284994982, 2021-02-21 04:00:18.378474
28, 17.94535877200542, 2021-02-21 04:00:20.028775
29, 18.859955544001423, 2021-02-21 04:00:20.943373
30, 19.37036438198993, 2021-02-21 04:00:21.453781
31, 19.82083021401195, 2021-02-21 04:00:21.904247
32, 20.759011187008582, 2021-02-21 04:00:22.842427
33, 20.940478638978675, 2021-02-21 04:00:23.023896
34, 21.159330455004238, 2021-02-21 04:00:23.242748
35, 21.47709488699911, 2021-02-21 04:00:23.560512
36, 21.649877968011424, 2021-02-21 04:00:23.733295
37, 22.918030696979258, 2021-02-21 04:00:25.001448
38, 23.183078207017388, 2021-02-21 04:00:25.266495
39, 23.26292857597582, 2021-02-21 04:00:25.346341
40, 23.56150896596955, 2021-02-21 04:00:25.644925
41, 26.106280173989944, 2021-02-21 04:00:28.189693
42, 26.701390735979658, 2021-02-21 04:00:28.784807
43, 27.224752645008266, 2021-02-21 04:00:29.308169
44, 28.89070663996972, 2021-02-21 04:00:30.974121
45, 29.40055239899084, 2021-02-21 04:00:31.483969
46, 29.766858407994732, 2021-02-21 04:00:31.850275
47, 29.920859866018873, 2021-02-21 04:00:32.004277
48, 30.04427209199639, 2021-02-21 04:00:32.127689
49, 30.507557830016594, 2021-02-21 04:00:32.590972
50, 31.407214503968135, 2021-02-21 04:00:33.490631
51, 32.67445220198715, 2021-02-21 04:00:34.757868
52, 33.194558858987875, 2021-02-21 04:00:35.277976
53, 34.154064728994854, 2021-02-21 04:00:36.237480
54, 36.2339783529751, 2021-02-21 04:00:38.317390
55, 37.33414143597474, 2021-02-21 04:00:39.417557
56, 37.42363465897506, 2021-02-21 04:00:39.507052
57, 37.561024860013276, 2021-02-21 04:00:39.644442
58, 37.8668042079662, 2021-02-21 04:00:39.950221
59, 38.11780482099857, 2021-02-21 04:00:40.201222
60, 38.172438892011996, 2021-02-21 04:00:40.255856
61, 38.91002002399182, 2021-02-21 04:00:40.993437
62, 39.30840427801013, 2021-02-21 04:00:41.391821
63, 39.82737558800727, 2021-02-21 04:00:41.910793
64, 39.936765580961946, 2021-02-21 04:00:42.020183
65, 40.23347760201432, 2021-02-21 04:00:42.316895
66, 40.61519702401711, 2021-02-21 04:00:42.698614
67, 42.8988417229848, 2021-02-21 04:00:44.982254
68, 43.369365327002015, 2021-02-21 04:00:45.452782
69, 44.2573864319711, 2021-02-21 04:00:46.340802
70, 44.76967294496717, 2021-02-21 04:00:46.853090
71, 45.24970614601625, 2021-02-21 04:00:47.333123
72, 45.70910116599407, 2021-02-21 04:00:47.792518
73, 46.732393827987835, 2021-02-21 04:00:48.815810
74, 47.15084973798366, 2021-02-21 04:00:49.234267
75, 47.96759331197245, 2021-02-21 04:00:50.050999
76, 49.30856919201324, 2021-02-21 04:00:51.391981
77, 49.42144997097785, 2021-02-21 04:00:51.504867
78, 50.7634439059766, 2021-02-21 04:00:52.846860
79, 51.763023910985794, 2021-02-21 04:00:53.846440
80, 52.647724027978256, 2021-02-21 04:00:54.731141
81, 52.979735305998474, 2021-02-21 04:00:55.063153
82, 53.47483755496796, 2021-02-21 04:00:55.558252
83, 53.605522124969866, 2021-02-21 04:00:55.688939
84, 53.729663264006376, 2021-02-21 04:00:55.813080
85, 55.09488709399011, 2021-02-21 04:00:57.178303
86, 55.414598864968866, 2021-02-21 04:00:57.498016
87, 58.033745274995454, 2021-02-21 04:01:00.117160
88, 58.840218511992134, 2021-02-21 04:01:00.923636
89, 59.592591056018136, 2021-02-21 04:01:01.676008
90, 60.883219881972764, 2021-02-21 04:01:02.966632
91, 60.889710999967065, 2021-02-21 04:01:02.973128
92, 60.9898480210104, 2021-02-21 04:01:03.073265
93, 61.04895700799534, 2021-02-21 04:01:03.132374
94, 63.920400442963, 2021-02-21 04:01:06.003810
95, 64.42332728701876, 2021-02-21 04:01:06.506744
96, 65.34260525199352, 2021-02-21 04:01:07.426019
97, 65.571060740971, 2021-02-21 04:01:07.654478
98, 65.8888188849669, 2021-02-21 04:01:07.972236
99, 66.81632497097598, 2021-02-21 04:01:08.899741
100, 67.162095304986, 2021-02-21 04:01:09.245512
101, 67.90643341100076, 2021-02-21 04:01:09.989850
102, 68.23051221296191, 2021-02-21 04:01:10.313929
103, 68.70230298297247, 2021-02-21 04:01:10.785720
104, 68.85527064901544, 2021-02-21 04:01:10.938688
105, 69.0430801709881, 2021-02-21 04:01:11.126497
106, 69.06130349100567, 2021-02-21 04:01:11.144721
107, 69.43207086797338, 2021-02-21 04:01:11.515488
108, 69.67986732401187, 2021-02-21 04:01:11.763285
109, 69.82743496197509, 2021-02-21 04:01:11.910852
110, 70.44718997599557, 2021-02-21 04:01:12.530607
111, 70.60009960597381, 2021-02-21 04:01:12.683517
112, 71.08743724797387, 2021-02-21 04:01:13.170852
113, 71.33676158200251, 2021-02-21 04:01:13.420179
114, 71.46179187198868, 2021-02-21 04:01:13.545209
115, 74.25162520597223, 2021-02-21 04:01:16.335040
116, 74.57462238101289, 2021-02-21 04:01:16.658040
117, 74.69545023201499, 2021-02-21 04:01:16.778868
118, 76.2166563149658, 2021-02-21 04:01:18.300073
119, 76.41345427697524, 2021-02-21 04:01:18.496871
120, 76.8539834410185, 2021-02-21 04:01:18.937401
121, 77.41723180800909, 2021-02-21 04:01:19.500649
122, 78.64553529396653, 2021-02-21 04:01:20.728952
123, 78.89849692996358, 2021-02-21 04:01:20.981914
124, 79.22876294900198, 2021-02-21 04:01:21.312180
125, 79.67466932500247, 2021-02-21 04:01:21.758087
126, 80.61824537196662, 2021-02-21 04:01:22.701662
127, 81.13102834799793, 2021-02-21 04:01:23.214446
128, 82.05594313901383, 2021-02-21 04:01:24.139360
129, 82.25067275296897, 2021-02-21 04:01:24.334090
130, 83.11736766900867, 2021-02-21 04:01:25.200785
131, 84.16644291597186, 2021-02-21 04:01:26.249856
132, 84.9294136009994, 2021-02-21 04:01:27.012830
133, 84.98904763400787, 2021-02-21 04:01:27.072465
134, 88.8249673480168, 2021-02-21 04:01:30.908382
135, 89.1169055600185, 2021-02-21 04:01:31.200322
136, 89.13612908299547, 2021-02-21 04:01:31.219546
137, 90.2817634799867, 2021-02-21 04:01:32.365181
138, 90.92251330398722, 2021-02-21 04:01:33.005931
139, 91.33080613898346, 2021-02-21 04:01:33.414223
140, 91.37774761696346, 2021-02-21 04:01:33.461165
141, 91.9298100899905, 2021-02-21 04:01:34.013227
142, 91.94894004100934, 2021-02-21 04:01:34.032357
143, 93.36208613397321, 2021-02-21 04:01:35.445502
144, 93.40512329799822, 2021-02-21 04:01:35.488541
145, 93.56686116900528, 2021-02-21 04:01:35.650278
146, 94.71052747598151, 2021-02-21 04:01:36.793944
147, 94.94845586299198, 2021-02-21 04:01:37.031873
148, 95.0433433559956, 2021-02-21 04:01:37.126761
149, 95.57076159497956, 2021-02-21 04:01:37.654179
150, 95.74634822201915, 2021-02-21 04:01:37.829766
151, 96.00980791996699, 2021-02-21 04:01:38.093225
