02/22/21 09:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
22, 10:53, SW11, 16, Fair, CLR, 20.6, 0, , , 25%, NA, NA, 76.73, 1023.0, , , 
---
Minute since start, Events per minute
1, 66
2, 89
3, 74
4, 100
5, 66
6, 85
7, 91
8, 84
9, 76
10, 76
11, 94
12, 76
13, 80
14, 68
15, 83
16, 68
17, 75
18, 81
19, 78
20, 88
21, 76
22, 84
23, 83
24, 82
25, 73
26, 80
27, 76
28, 101
29, 80
30, 68
31, 91
32, 89
33, 78
34, 91
35, 89
36, 79
37, 99
38, 106
39, 73
40, 80
41, 81
42, 75
43, 79
44, 86
45, 92
46, 76
47, 92
48, 92
49, 72
50, 91
51, 85
52, 63
53, 80
54, 69
55, 85
56, 71
57, 87
58, 76
59, 78
60, 90
