02/22/21 21:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
22, 21:53, NW5, 16, Fair, CLR, 11.1, 4.4, 22.8, 9.4, 64%, NA, NA, 76.43, 1018.8, , , 
---
Minute since start, Events per minute
1, 82
2, 79
3, 84
4, 90
5, 92
6, 81
7, 91
8, 68
9, 84
10, 79
11, 69
12, 98
13, 88
14, 70
15, 78
16, 89
17, 75
18, 71
19, 82
20, 93
21, 85
22, 82
23, 82
24, 89
25, 86
26, 81
27, 69
28, 83
29, 85
30, 78
31, 83
32, 92
33, 78
34, 84
35, 79
36, 74
37, 79
38, 90
39, 76
40, 85
41, 80
42, 84
43, 82
44, 93
45, 90
46, 91
47, 80
48, 69
49, 85
50, 60
51, 69
52, 70
53, 99
54, 88
55, 85
56, 68
57, 87
58, 68
59, 68
60, 65
