02/22/21 03:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
22, 03:53, Calm, 16, Fair, CLR, 5, 1.1, 9.4, 4.4, 76%, NA, NA, 76.78, 1023.5, , , 
---
Minute since start, Events per minute
1, 83
2, 84
3, 93
4, 88
5, 90
6, 95
7, 96
8, 103
9, 77
10, 84
11, 88
12, 72
13, 93
14, 80
15, 93
16, 86
17, 95
18, 68
19, 79
20, 83
21, 107
22, 75
23, 77
24, 86
25, 72
26, 74
27, 73
28, 87
29, 109
30, 96
31, 87
32, 84
33, 89
34, 91
35, 62
36, 81
37, 93
38, 94
39, 69
40, 92
41, 89
42, 71
43, 91
44, 82
45, 93
46, 88
47, 64
48, 82
49, 94
50, 83
51, 85
52, 94
53, 86
54, 77
55, 80
56, 77
57, 99
58, 92
59, 100
60, 95
