02/22/21 03:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
22, 03:53, Calm, 16, Fair, CLR, 5, 1.1, 9.4, 4.4, 76%, NA, NA, 76.78, 1023.5, , , 
---
Incident number, relative time since start, timestamp
1, 0.24677214404800907, 2021-02-22 04:00:02.652187
2, 1.2975824660388753, 2021-02-22 04:00:03.703037
3, 2.0119245760142803, 2021-02-22 04:00:04.417372
4, 2.5201186680351384, 2021-02-22 04:00:04.925566
5, 3.0317392120487057, 2021-02-22 04:00:05.437199
6, 3.0799395960057154, 2021-02-22 04:00:05.485405
7, 4.227193576050922, 2021-02-22 04:00:06.632657
8, 4.848378797003534, 2021-02-22 04:00:07.253843
9, 6.098140481044538, 2021-02-22 04:00:08.503604
10, 6.251520111050922, 2021-02-22 04:00:08.656985
11, 7.553538804000709, 2021-02-22 04:00:09.958997
12, 8.335616858035792, 2021-02-22 04:00:10.741081
13, 8.608697596006095, 2021-02-22 04:00:11.014163
14, 8.976305343036074, 2021-02-22 04:00:11.381769
15, 10.650756226037629, 2021-02-22 04:00:13.056216
16, 11.384432455000933, 2021-02-22 04:00:13.789896
17, 11.784218458051328, 2021-02-22 04:00:14.189684
18, 12.56696920300601, 2021-02-22 04:00:14.972434
19, 13.613976581022143, 2021-02-22 04:00:16.019440
20, 15.151944370998535, 2021-02-22 04:00:17.557408
21, 15.19408063404262, 2021-02-22 04:00:17.599546
22, 15.28523491503438, 2021-02-22 04:00:17.690700
23, 15.707652750017587, 2021-02-22 04:00:18.113118
24, 15.795743646041956, 2021-02-22 04:00:18.201209
25, 17.425916789041366, 2021-02-22 04:00:19.831381
26, 19.49384963104967, 2021-02-22 04:00:21.899313
27, 20.02095796202775, 2021-02-22 04:00:22.426422
28, 20.124073581013363, 2021-02-22 04:00:22.529539
29, 20.960301292012446, 2021-02-22 04:00:23.365764
30, 21.9699163500336, 2021-02-22 04:00:24.375381
31, 22.07000073202653, 2021-02-22 04:00:24.475466
32, 22.891471566050313, 2021-02-22 04:00:25.296937
33, 23.64149334403919, 2021-02-22 04:00:26.046958
34, 23.732984803034924, 2021-02-22 04:00:26.138450
35, 23.793543870036956, 2021-02-22 04:00:26.199010
36, 23.97271062200889, 2021-02-22 04:00:26.378176
37, 24.895339595037512, 2021-02-22 04:00:27.300804
38, 25.90590894903289, 2021-02-22 04:00:28.311367
39, 27.46853093901882, 2021-02-22 04:00:29.873991
40, 28.368842110037804, 2021-02-22 04:00:30.774306
41, 30.073046888050158, 2021-02-22 04:00:32.478509
42, 30.25155620800797, 2021-02-22 04:00:32.657022
43, 30.814955417008605, 2021-02-22 04:00:33.220420
44, 31.796777522016782, 2021-02-22 04:00:34.202241
45, 31.863674242049456, 2021-02-22 04:00:34.269140
46, 31.99866084504174, 2021-02-22 04:00:34.404127
47, 32.18932876002509, 2021-02-22 04:00:34.594794
48, 34.328384202031884, 2021-02-22 04:00:36.733848
49, 35.372597503999714, 2021-02-22 04:00:37.778056
50, 35.62326894100988, 2021-02-22 04:00:38.028734
51, 35.71745260601165, 2021-02-22 04:00:38.122918
52, 37.629127338004764, 2021-02-22 04:00:40.034591
53, 38.487841161026154, 2021-02-22 04:00:40.893306
54, 39.53361208102433, 2021-02-22 04:00:41.939076
55, 40.36455748701701, 2021-02-22 04:00:42.770022
56, 40.6476316760527, 2021-02-22 04:00:43.053093
57, 41.03559604100883, 2021-02-22 04:00:43.441062
58, 41.59567451901967, 2021-02-22 04:00:44.001139
59, 41.664988005999476, 2021-02-22 04:00:44.070453
60, 42.78407063201303, 2021-02-22 04:00:45.189535
61, 44.23990809201496, 2021-02-22 04:00:46.645366
62, 44.41371169005288, 2021-02-22 04:00:46.819177
63, 44.58166401501512, 2021-02-22 04:00:46.987129
64, 44.96582467702683, 2021-02-22 04:00:47.371290
65, 45.024727795040235, 2021-02-22 04:00:47.430194
66, 45.787577431008685, 2021-02-22 04:00:48.193038
67, 46.591344409040175, 2021-02-22 04:00:48.996808
68, 47.48657675401773, 2021-02-22 04:00:49.892042
69, 48.50956540001789, 2021-02-22 04:00:50.915020
70, 49.8226786320447, 2021-02-22 04:00:52.228141
71, 49.846942766045686, 2021-02-22 04:00:52.252408
72, 50.2837393360096, 2021-02-22 04:00:52.689203
73, 50.58483083703322, 2021-02-22 04:00:52.990295
74, 50.74170084204525, 2021-02-22 04:00:53.147166
75, 51.13465801603161, 2021-02-22 04:00:53.540123
76, 52.684862027002964, 2021-02-22 04:00:55.090326
77, 54.378538621996995, 2021-02-22 04:00:56.784001
78, 55.34768019703915, 2021-02-22 04:00:57.753145
79, 55.76470360101666, 2021-02-22 04:00:58.170169
80, 55.809133245027624, 2021-02-22 04:00:58.214599
81, 56.92275170003995, 2021-02-22 04:00:59.328216
82, 58.936887172050774, 2021-02-22 04:01:01.342345
83, 58.95211339101661, 2021-02-22 04:01:01.357579
84, 59.0461622440489, 2021-02-22 04:01:01.451628
85, 59.227108257007785, 2021-02-22 04:01:01.632573
86, 61.03962382703321, 2021-02-22 04:01:03.445086
87, 63.193285961053334, 2021-02-22 04:01:05.598750
88, 63.506406855012756, 2021-02-22 04:01:05.911872
