02/24/21 00:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
24, 00:53, NE5, 16, Fair, CLR, 10, 5, , , 71%, NA, NA, 76.15, 1015.3, , , 
---
Minute since start, Events per minute
1, 81
2, 78
3, 78
4, 69
5, 74
6, 83
7, 83
8, 99
9, 90
10, 73
11, 97
12, 94
13, 68
14, 82
15, 77
16, 85
17, 91
18, 92
19, 91
20, 86
21, 84
22, 89
23, 97
24, 79
25, 79
26, 103
27, 77
28, 82
29, 97
30, 94
31, 86
32, 86
33, 76
34, 91
35, 80
36, 76
37, 78
38, 86
39, 91
40, 92
41, 87
42, 84
43, 86
44, 94
45, 74
46, 79
47, 87
48, 72
49, 79
50, 96
51, 81
52, 86
53, 97
54, 83
55, 95
56, 95
57, 88
58, 98
59, 76
60, 85
