02/24/21 11:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
24, 12:53, S10, 16, Fair, CLR, 17.8, 10, , , 60%, NA, NA, 76.25, 1016.5, , , 
---
Minute since start, Events per minute
1, 76
2, 83
3, 103
4, 80
5, 86
6, 84
7, 83
8, 99
9, 82
10, 76
11, 69
12, 70
13, 79
14, 66
15, 86
16, 73
17, 80
18, 67
19, 77
20, 92
21, 99
22, 75
23, 98
24, 84
25, 68
26, 80
27, 85
28, 99
29, 88
30, 83
31, 90
32, 74
33, 86
34, 87
35, 97
36, 78
37, 93
38, 80
39, 72
40, 67
41, 88
42, 81
43, 86
44, 92
45, 85
46, 108
47, 82
48, 78
49, 100
50, 84
51, 78
52, 94
53, 83
54, 91
55, 92
56, 95
57, 86
58, 83
59, 89
60, 69
