02/24/21 14:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
24, 14:53, SE11, 16, Fair, CLR, 17.8, 11.1, , , 65%, NA, NA, 76.17, 1015.6, , , 
---
Minute since start, Events per minute
1, 88
2, 83
3, 101
4, 91
5, 81
6, 89
7, 75
8, 82
9, 95
10, 85
11, 84
12, 92
13, 73
14, 69
15, 83
16, 95
17, 77
18, 86
19, 82
20, 79
21, 81
22, 83
23, 118
24, 103
25, 78
26, 84
27, 98
28, 81
29, 85
30, 72
31, 101
32, 76
33, 99
34, 79
35, 83
36, 96
37, 74
38, 106
39, 86
40, 81
41, 90
42, 66
43, 81
44, 87
45, 87
46, 85
47, 75
48, 92
49, 78
50, 93
51, 89
52, 86
53, 83
54, 73
55, 78
56, 80
57, 98
58, 65
59, 92
60, 76
