02/24/21 18:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
24, 18:53, NE5, 8, Fair with Haze, CLR, 12.2, 11.1, , , 93%, NA, NA, 76.2, 1015.8, , , 
---
Incident number, relative time since start, timestamp
1, 0.5322818470885977, 2021-02-24 19:00:02.440531
2, 1.293586576008238, 2021-02-24 19:00:03.201864
3, 1.674492871039547, 2021-02-24 19:00:03.582767
4, 3.0716417230432853, 2021-02-24 19:00:04.979909
5, 3.1008833210216835, 2021-02-24 19:00:05.009171
6, 3.154503726051189, 2021-02-24 19:00:05.062792
7, 3.531785892089829, 2021-02-24 19:00:05.440071
8, 3.5530731310136616, 2021-02-24 19:00:05.461362
9, 3.620873381034471, 2021-02-24 19:00:05.529162
10, 3.6425310760969296, 2021-02-24 19:00:05.550820
11, 4.101617636042647, 2021-02-24 19:00:06.009900
12, 4.638131181010976, 2021-02-24 19:00:06.546414
13, 5.0855668460717425, 2021-02-24 19:00:06.993852
14, 6.163919107988477, 2021-02-24 19:00:08.072205
15, 6.917852606042288, 2021-02-24 19:00:08.826139
16, 7.61941621103324, 2021-02-24 19:00:09.527696
17, 7.745184965082444, 2021-02-24 19:00:09.653474
18, 8.578351116040722, 2021-02-24 19:00:10.486635
19, 8.699815066996962, 2021-02-24 19:00:10.608104
20, 9.058543886989355, 2021-02-24 19:00:10.966828
21, 9.749701316002756, 2021-02-24 19:00:11.657989
22, 11.20392293704208, 2021-02-24 19:00:13.112203
23, 12.022112135076895, 2021-02-24 19:00:13.930396
24, 12.497162162093446, 2021-02-24 19:00:14.405450
25, 13.265349736087956, 2021-02-24 19:00:15.173634
26, 17.929430011077784, 2021-02-24 19:00:19.837709
27, 18.204084395081736, 2021-02-24 19:00:20.112373
28, 19.0289811930852, 2021-02-24 19:00:20.937265
29, 19.35427759902086, 2021-02-24 19:00:21.262565
30, 21.588155996985734, 2021-02-24 19:00:23.496435
31, 21.867291922098957, 2021-02-24 19:00:23.775580
32, 21.954601302044466, 2021-02-24 19:00:23.862890
33, 22.406485988060012, 2021-02-24 19:00:24.314770
34, 22.59473823499866, 2021-02-24 19:00:24.503027
35, 24.593656058073975, 2021-02-24 19:00:26.501938
36, 24.91271674109157, 2021-02-24 19:00:26.821001
37, 25.70716984604951, 2021-02-24 19:00:27.615453
38, 25.750858027022332, 2021-02-24 19:00:27.659147
39, 25.89456537005026, 2021-02-24 19:00:27.802854
40, 26.13815252808854, 2021-02-24 19:00:28.046441
41, 28.83176623401232, 2021-02-24 19:00:30.740046
42, 28.911375714000314, 2021-02-24 19:00:30.819665
43, 30.3310843820218, 2021-02-24 19:00:32.239371
44, 30.523764042998664, 2021-02-24 19:00:32.432053
45, 31.54693843109999, 2021-02-24 19:00:33.455223
46, 31.732350183068775, 2021-02-24 19:00:33.640639
47, 31.741966842091642, 2021-02-24 19:00:33.650256
48, 32.27396878506988, 2021-02-24 19:00:34.182257
49, 33.16001508804038, 2021-02-24 19:00:35.068303
50, 35.07591021002736, 2021-02-24 19:00:36.984193
51, 35.68143127905205, 2021-02-24 19:00:37.589719
52, 37.88329633802641, 2021-02-24 19:00:39.791583
53, 38.57977881305851, 2021-02-24 19:00:40.488067
54, 39.14162948203739, 2021-02-24 19:00:41.049917
55, 40.07174710102845, 2021-02-24 19:00:41.980036
56, 41.11934163107071, 2021-02-24 19:00:43.027630
57, 41.17704079207033, 2021-02-24 19:00:43.085330
