02/24/21 01:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
24, 01:53, NE8, 16, Fair, CLR, 8.9, 3.9, , , 71%, 7.8, NA, 76.17, 1015.5, , , 
---
Minute since start, Events per minute
1, 77
2, 87
3, 93
4, 80
5, 76
6, 85
7, 86
8, 89
9, 100
10, 78
11, 84
12, 97
13, 79
14, 78
15, 78
16, 79
17, 79
18, 76
19, 90
20, 81
21, 90
22, 72
23, 93
24, 88
25, 58
26, 89
27, 74
28, 87
29, 67
30, 79
31, 74
32, 70
33, 87
34, 82
35, 81
36, 90
37, 79
38, 81
39, 86
40, 85
41, 95
42, 83
43, 86
44, 87
45, 76
46, 78
47, 82
48, 81
49, 80
50, 102
51, 77
52, 81
53, 97
54, 77
55, 95
56, 86
57, 85
58, 88
59, 91
60, 72
