02/24/21 01:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
24, 01:53, NE8, 16, Fair, CLR, 8.9, 3.9, , , 71%, 7.8, NA, 76.17, 1015.5, , , 
---
Incident number, relative time since start, timestamp
1, 1.903859939891845, 2021-02-24 02:00:04.479089
2, 2.175783257931471, 2021-02-24 02:00:04.751053
3, 2.1930611199932173, 2021-02-24 02:00:04.768343
4, 3.9057465048972517, 2021-02-24 02:00:06.481015
5, 6.30316234997008, 2021-02-24 02:00:08.878435
6, 6.474958215956576, 2021-02-24 02:00:09.050241
7, 7.4111846059095114, 2021-02-24 02:00:09.986466
8, 8.218746212893166, 2021-02-24 02:00:10.794029
9, 9.335279068909585, 2021-02-24 02:00:11.910561
10, 11.648029066971503, 2021-02-24 02:00:14.223310
11, 13.393264366895892, 2021-02-24 02:00:15.968548
12, 13.41992405289784, 2021-02-24 02:00:15.995208
13, 14.159092510002665, 2021-02-24 02:00:16.734375
14, 16.519411739893258, 2021-02-24 02:00:19.094694
15, 16.604631093912758, 2021-02-24 02:00:19.179915
16, 16.743434721953236, 2021-02-24 02:00:19.318718
17, 16.956616651965305, 2021-02-24 02:00:19.531900
18, 17.519004550995305, 2021-02-24 02:00:20.094287
19, 18.914181566913612, 2021-02-24 02:00:21.489465
20, 21.58198154193815, 2021-02-24 02:00:24.157258
21, 21.77344442496542, 2021-02-24 02:00:24.348727
22, 21.77894851390738, 2021-02-24 02:00:24.354232
23, 22.405765810981393, 2021-02-24 02:00:24.981049
24, 22.512248000944965, 2021-02-24 02:00:25.087532
25, 23.02020203298889, 2021-02-24 02:00:25.595483
26, 23.075112573918886, 2021-02-24 02:00:25.650396
27, 23.837741209892556, 2021-02-24 02:00:26.413020
28, 24.062726356904022, 2021-02-24 02:00:26.638010
29, 24.689103552955203, 2021-02-24 02:00:27.264383
30, 25.763894798001274, 2021-02-24 02:00:28.339177
31, 26.631916478974745, 2021-02-24 02:00:29.207199
32, 26.983326178975403, 2021-02-24 02:00:29.558610
33, 27.176579357939772, 2021-02-24 02:00:29.751863
34, 27.85882096295245, 2021-02-24 02:00:30.434104
35, 27.869971693959087, 2021-02-24 02:00:30.445255
36, 28.504765306948684, 2021-02-24 02:00:31.080048
37, 28.61473179399036, 2021-02-24 02:00:31.190014
38, 29.334384435904212, 2021-02-24 02:00:31.909668
39, 29.477575175929815, 2021-02-24 02:00:32.052859
40, 30.643060161964968, 2021-02-24 02:00:33.218337
41, 32.71176991099492, 2021-02-24 02:00:35.287048
42, 33.172259487910196, 2021-02-24 02:00:35.747542
43, 34.47130213689525, 2021-02-24 02:00:37.046583
44, 35.425107956980355, 2021-02-24 02:00:38.000385
45, 36.26320805796422, 2021-02-24 02:00:38.838491
46, 36.40725966892205, 2021-02-24 02:00:38.982543
47, 36.982336599961855, 2021-02-24 02:00:39.557618
48, 37.03222665400244, 2021-02-24 02:00:39.607510
49, 37.316412771935575, 2021-02-24 02:00:39.891696
50, 37.46110025898088, 2021-02-24 02:00:40.036384
51, 38.35504484490957, 2021-02-24 02:00:40.930326
52, 38.5280928889988, 2021-02-24 02:00:41.103376
53, 38.75366457994096, 2021-02-24 02:00:41.328948
54, 40.691024435916916, 2021-02-24 02:00:43.266306
55, 40.74287509697024, 2021-02-24 02:00:43.318159
56, 41.34744050598238, 2021-02-24 02:00:43.922722
57, 41.626555544906296, 2021-02-24 02:00:44.201836
58, 41.691977496957406, 2021-02-24 02:00:44.267261
59, 41.94653517694678, 2021-02-24 02:00:44.521819
60, 42.04939436796121, 2021-02-24 02:00:44.624677
61, 42.86944036395289, 2021-02-24 02:00:45.444722
62, 43.155321039957926, 2021-02-24 02:00:45.730604
63, 44.981662836973555, 2021-02-24 02:00:47.556942
64, 46.186865051975474, 2021-02-24 02:00:48.762148
65, 47.61561435298063, 2021-02-24 02:00:50.190888
66, 47.87643084698357, 2021-02-24 02:00:50.451714
67, 48.43298129294999, 2021-02-24 02:00:51.008265
68, 50.983040222898126, 2021-02-24 02:00:53.558321
69, 51.49824221490417, 2021-02-24 02:00:54.073521
70, 52.23872849799227, 2021-02-24 02:00:54.814012
71, 52.871981698903255, 2021-02-24 02:00:55.447262
72, 55.00040663196705, 2021-02-24 02:00:57.575685
73, 56.02640372689348, 2021-02-24 02:00:58.601683
74, 56.7459455759963, 2021-02-24 02:00:59.321228
75, 56.90414070698898, 2021-02-24 02:00:59.479424
76, 57.22502002399415, 2021-02-24 02:00:59.800303
77, 57.81823044794146, 2021-02-24 02:01:00.393514
78, 58.2372897019377, 2021-02-24 02:01:00.812573
79, 59.236378747969866, 2021-02-24 02:01:01.811649
80, 60.39241043198854, 2021-02-24 02:01:02.967676
81, 61.06040683493484, 2021-02-24 02:01:03.635689
82, 62.098109205951914, 2021-02-24 02:01:04.673390
83, 62.29600302898325, 2021-02-24 02:01:04.871286
84, 63.823449774994515, 2021-02-24 02:01:06.398731
85, 65.04698916396592, 2021-02-24 02:01:07.622263
86, 66.2157723789569, 2021-02-24 02:01:08.791052
87, 67.00967990094796, 2021-02-24 02:01:09.584963
