02/24/21 19:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
24, 19:53, Calm, 10, Fair with Haze, CLR, 10, 8.9, , , 93%, NA, NA, 76.23, 1016.2, , , 
---
Minute since start, Events per minute
1, 94
2, 90
3, 84
4, 101
5, 77
6, 84
7, 96
8, 92
9, 88
10, 101
11, 83
12, 87
13, 90
14, 79
15, 93
16, 81
17, 74
18, 94
19, 88
20, 73
21, 84
22, 90
23, 83
24, 92
25, 79
26, 69
27, 89
28, 100
29, 73
30, 69
31, 77
32, 82
33, 90
34, 77
35, 84
36, 84
37, 79
38, 84
39, 82
40, 90
41, 75
42, 85
43, 71
44, 88
45, 68
46, 81
47, 79
48, 82
49, 76
50, 75
51, 101
52, 74
53, 89
54, 76
55, 81
56, 86
57, 85
58, 85
59, 98
60, 72
