02/24/21 21:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
24, 21:53, Vrbl5, 16, Fair with Haze, CLR, 11.7, 4.4, 16.7, 8.9, 61%, NA, NA, 76.25, 1016.7, , , 
---
Minute since start, Events per minute
1, 75
2, 72
3, 82
4, 93
5, 77
6, 88
7, 78
8, 81
9, 82
10, 77
11, 85
12, 80
13, 88
14, 73
15, 76
16, 93
17, 94
18, 85
19, 86
20, 87
21, 68
22, 85
23, 80
24, 80
25, 87
26, 77
27, 90
28, 98
29, 68
30, 92
31, 83
32, 79
33, 78
34, 83
35, 92
36, 74
37, 77
38, 83
39, 92
40, 87
41, 92
42, 93
43, 83
44, 82
45, 65
46, 89
47, 96
48, 94
49, 81
50, 85
51, 87
52, 75
53, 88
54, 75
55, 82
56, 97
57, 82
58, 75
59, 71
60, 98
