02/24/21 22:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
24, 22:53, Vrbl10, 16, Fair with Haze, CLR, 17.2, -3.9, , , 24%, NA, NA, 76.28, 1016.9, , , 
---
Minute since start, Events per minute
1, 81
2, 63
3, 82
4, 88
5, 78
6, 88
7, 75
8, 79
9, 86
10, 85
11, 77
12, 87
13, 77
14, 81
15, 99
16, 96
17, 89
18, 76
19, 93
20, 79
21, 79
22, 88
23, 91
24, 77
25, 92
26, 83
27, 87
28, 79
29, 92
30, 81
31, 88
32, 83
33, 79
34, 101
35, 83
36, 100
37, 84
38, 84
39, 88
40, 87
41, 69
42, 89
43, 89
44, 84
45, 86
46, 80
47, 77
48, 77
49, 95
50, 85
51, 71
52, 84
53, 72
54, 88
55, 86
56, 77
57, 69
58, 78
59, 84
60, 93
