02/24/21 03:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
, , , , , , , , , , , , , , , , , 
---
Minute since start, Events per minute
1, 74
2, 91
3, 84
4, 94
5, 89
6, 74
7, 76
8, 77
9, 72
10, 75
11, 81
12, 85
13, 83
14, 79
15, 82
16, 83
17, 91
18, 94
19, 67
20, 103
21, 81
22, 70
23, 105
24, 93
25, 78
26, 99
27, 83
28, 69
29, 90
30, 97
31, 85
32, 75
33, 81
34, 84
35, 86
36, 81
37, 92
38, 77
39, 90
40, 84
41, 91
42, 91
43, 80
44, 83
45, 69
46, 76
47, 84
48, 97
49, 87
50, 85
51, 89
52, 104
53, 79
54, 79
55, 72
56, 84
57, 75
58, 87
59, 73
60, 90
