02/24/21 08:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
24, 09:53, SE10, 16, Fair, CLR, 16.7, 9.4, 17.2, 5, 62%, NA, NA, 76.35, 1017.9, , , 
---
Minute since start, Events per minute
1, 84
2, 83
3, 75
4, 93
5, 89
6, 81
7, 113
8, 88
9, 78
10, 74
11, 87
12, 76
13, 90
14, 92
15, 76
16, 82
17, 82
18, 78
19, 73
20, 73
21, 86
22, 87
23, 93
24, 85
25, 92
26, 69
27, 77
28, 98
29, 81
30, 71
31, 87
32, 80
33, 79
34, 82
35, 84
36, 85
37, 84
38, 91
39, 106
40, 87
41, 76
42, 90
43, 88
44, 77
45, 81
46, 99
47, 65
48, 102
49, 82
50, 84
51, 86
52, 85
53, 85
54, 92
55, 96
56, 86
57, 81
58, 71
59, 67
60, 81
