02/25/21 15:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
25, 15:53, SW8, 16, Fair, CLR, 16.1, 7.8, 18.9, 16.1, 58%, NA, NA, 76.4, 1018.5, , , 
---
Minute since start, Events per minute
1, 96
2, 92
3, 78
4, 91
5, 79
6, 89
7, 87
8, 81
9, 71
10, 97
11, 76
12, 83
13, 81
14, 90
15, 90
16, 88
17, 70
18, 93
19, 95
20, 85
21, 81
22, 86
23, 100
24, 85
25, 106
26, 78
27, 82
28, 95
29, 81
30, 94
31, 68
32, 74
33, 76
34, 80
35, 69
36, 96
37, 89
38, 90
39, 87
40, 78
41, 78
42, 65
43, 85
44, 98
45, 76
46, 77
47, 77
48, 87
49, 92
50, 96
51, 92
52, 84
53, 85
54, 81
55, 79
56, 81
57, 84
58, 76
59, 99
60, 76
