02/25/21 01:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
25, 01:53, Calm, 16, Fair with Haze, CLR, 7.8, 3.9, , , 77%, NA, NA, 76.35, 1018.0, , , 
---
Minute since start, Events per minute
1, 100
2, 82
3, 95
4, 82
5, 83
6, 87
7, 94
8, 77
9, 67
10, 65
11, 90
12, 88
13, 97
14, 91
15, 83
16, 87
17, 86
18, 79
19, 74
20, 74
21, 95
22, 82
23, 91
24, 75
25, 89
26, 97
27, 94
28, 87
29, 89
30, 81
31, 106
32, 84
33, 84
34, 82
35, 67
36, 86
37, 87
38, 78
39, 90
40, 75
41, 64
42, 76
43, 73
44, 83
45, 66
46, 81
47, 76
48, 75
49, 69
50, 97
51, 82
52, 100
53, 77
54, 99
55, 81
56, 85
57, 87
58, 81
59, 85
60, 92
