02/25/21 22:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
25, 22:53, Calm, 16, Fair, CLR, 5.6, 1.1, , , 73%, NA, NA, 76.43, 1018.9, , , 
---
Minute since start, Events per minute
1, 104
2, 100
3, 82
4, 93
5, 94
6, 70
7, 98
8, 82
9, 87
10, 80
11, 86
12, 88
13, 86
14, 89
15, 96
16, 110
17, 85
18, 87
19, 82
20, 88
21, 92
22, 71
23, 100
24, 76
25, 74
26, 94
27, 93
28, 95
29, 92
30, 84
31, 89
32, 93
33, 94
34, 75
35, 74
36, 83
37, 75
38, 74
39, 83
40, 75
41, 83
42, 83
43, 80
44, 75
45, 79
46, 81
47, 99
48, 93
49, 84
50, 72
51, 94
52, 82
53, 95
54, 87
55, 77
56, 88
57, 91
58, 84
59, 80
60, 83
