02/25/21 03:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
25, 03:53, W11, 16, Fair with Haze, CLR, 4.4, 0.6, 21.1, 4.4, 77%, 1.7, NA, 76.4, 1018.4, , , 
---
Minute since start, Events per minute
1, 78
2, 92
3, 80
4, 85
5, 84
6, 96
7, 80
8, 80
9, 88
10, 96
11, 76
12, 67
13, 81
14, 89
15, 73
16, 81
17, 64
18, 71
19, 83
20, 96
21, 81
22, 91
23, 100
24, 71
25, 77
26, 94
27, 84
28, 98
29, 90
30, 78
31, 63
32, 67
33, 91
34, 89
35, 69
36, 76
37, 77
38, 80
39, 77
40, 100
41, 75
42, 78
43, 69
44, 82
45, 77
46, 73
47, 100
48, 94
49, 58
50, 88
51, 79
52, 78
53, 95
54, 91
55, 78
56, 86
57, 88
58, 70
59, 91
60, 71
