02/25/21 04:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
25, 05:53, E5, 16, Fair with Haze, CLR, 5.6, 0.6, , , 71%, NA, NA, 76.48, 1019.5, , , 
---
Minute since start, Events per minute
1, 79
2, 82
3, 100
4, 83
5, 86
6, 72
7, 88
8, 86
9, 88
10, 83
11, 67
12, 95
13, 96
14, 84
15, 88
16, 89
17, 90
18, 85
19, 54
20, 91
21, 84
22, 74
23, 77
24, 88
25, 86
26, 97
27, 109
28, 85
29, 91
30, 85
31, 81
32, 80
33, 81
34, 89
35, 84
36, 88
37, 99
38, 93
39, 85
40, 101
41, 69
42, 79
43, 103
44, 62
45, 81
46, 87
47, 85
48, 84
49, 72
50, 90
51, 69
52, 76
53, 82
54, 89
55, 90
56, 78
57, 98
58, 77
59, 82
60, 67
