02/25/21 08:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
25, 09:53, W16, 16, Fair, CLR, 16.7, 3.9, 16.7, 3.9, 43%, NA, NA, 76.63, 1021.5, , , 
---
Minute since start, Events per minute
1, 68
2, 69
3, 69
4, 81
5, 75
6, 76
7, 78
8, 89
9, 85
10, 88
11, 86
12, 86
13, 84
14, 96
15, 96
16, 92
17, 75
18, 90
19, 76
20, 87
21, 81
22, 86
23, 87
24, 80
25, 85
26, 76
27, 78
28, 81
29, 85
30, 98
31, 86
32, 81
33, 80
34, 77
35, 84
36, 91
37, 92
38, 67
39, 85
40, 76
41, 93
42, 69
43, 75
44, 93
45, 77
46, 82
47, 87
48, 89
49, 81
50, 81
51, 97
52, 74
53, 91
54, 82
55, 73
56, 79
57, 89
58, 93
59, 80
60, 80
