02/26/21 14:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
26, 14:53, SE10, 16, Fair, CLR, 17.2, 7.8, , , 54%, NA, NA, 76, 1013.2, , , 
---
Minute since start, Events per minute
1, 89
2, 92
3, 88
4, 94
5, 91
6, 89
7, 98
8, 88
9, 85
10, 84
11, 94
12, 89
13, 81
14, 95
15, 92
16, 84
17, 90
18, 79
19, 79
20, 101
21, 82
22, 85
23, 97
24, 95
25, 101
26, 96
27, 86
28, 88
29, 97
30, 81
31, 67
32, 81
33, 87
34, 74
35, 74
36, 86
37, 86
38, 94
39, 77
40, 105
41, 90
42, 83
43, 83
44, 77
45, 88
46, 83
47, 98
48, 78
49, 90
50, 87
51, 81
52, 82
53, 92
54, 88
55, 91
56, 76
57, 86
58, 98
59, 93
60, 85
