02/26/21 19:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
26, 19:53, NW16, 16, Fair, CLR, 14.4, 5, , , 53%, NA, NA, 76, 1013.2, , , 
---
Minute since start, Events per minute
1, 83
2, 95
3, 82
4, 85
5, 78
6, 85
7, 80
8, 87
9, 84
10, 93
11, 95
12, 82
13, 96
14, 98
15, 76
16, 78
17, 81
18, 90
19, 84
20, 80
21, 84
22, 83
23, 105
24, 58
25, 82
26, 72
27, 83
28, 95
29, 103
30, 79
31, 87
32, 83
33, 83
34, 104
35, 87
36, 71
37, 86
38, 81
39, 80
40, 89
41, 77
42, 71
43, 81
44, 96
45, 91
46, 85
47, 90
48, 92
49, 72
50, 77
51, 87
52, 89
53, 83
54, 85
55, 97
56, 101
57, 96
58, 93
59, 80
60, 100
