02/26/21 21:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
26, 21:53, NW13, 16, Fair, CLR, 11.7, 5, 20.6, 11.7, 64%, NA, NA, 76.02, 1013.6, , , 
---
Minute since start, Events per minute
1, 90
2, 103
3, 76
4, 69
5, 90
6, 72
7, 98
8, 79
9, 79
10, 88
11, 95
12, 88
13, 90
14, 76
15, 98
16, 74
17, 91
18, 92
19, 107
20, 90
21, 73
22, 82
23, 81
24, 78
25, 85
26, 79
27, 89
28, 95
29, 85
30, 80
31, 86
32, 92
33, 73
34, 76
35, 72
36, 101
37, 88
38, 73
39, 82
40, 88
41, 89
42, 87
43, 96
44, 80
45, 83
46, 70
47, 82
48, 98
49, 72
50, 91
51, 97
52, 66
53, 84
54, 96
55, 68
56, 81
57, 104
58, 83
59, 84
60, 89
61, 1
