02/26/21 22:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
26, 22:53, W11, 16, Fair, CLR, 12.2, 5, , , 62%, NA, NA, 76.02, 1013.4, , , 
---
Minute since start, Events per minute
1, 77
2, 82
3, 77
4, 89
5, 85
6, 82
7, 86
8, 71
9, 82
10, 81
11, 84
12, 84
13, 83
14, 86
15, 80
16, 91
17, 72
18, 74
19, 87
20, 81
21, 85
22, 77
23, 78
24, 96
25, 94
26, 80
27, 97
28, 90
29, 88
30, 77
31, 75
32, 81
33, 93
34, 76
35, 89
36, 76
37, 98
38, 97
39, 89
40, 97
41, 79
42, 69
43, 80
44, 67
45, 92
46, 79
47, 77
48, 84
49, 84
50, 82
51, 73
52, 75
53, 85
54, 79
55, 88
56, 91
57, 75
58, 84
59, 81
60, 86
