02/26/21 02:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
26, 02:53, N8, 16, Fair, CLR, 4.4, -0.6, , , 70%, 2.2, NA, 76.3, 1017.4, , , 
---
Minute since start, Events per minute
1, 101
2, 81
3, 90
4, 94
5, 101
6, 85
7, 81
8, 90
9, 80
10, 98
11, 85
12, 82
13, 80
14, 102
15, 87
16, 80
17, 79
18, 75
19, 85
20, 79
21, 86
22, 88
23, 74
24, 79
25, 81
26, 85
27, 93
28, 115
29, 74
30, 84
31, 90
32, 85
33, 75
34, 89
35, 100
36, 81
37, 95
38, 94
39, 89
40, 92
41, 81
42, 88
43, 84
44, 88
45, 88
46, 85
47, 98
48, 88
49, 99
50, 78
51, 84
52, 84
53, 94
54, 88
55, 84
56, 87
57, 86
58, 78
59, 81
60, 79
