02/26/21 08:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
26, 09:53, SE11, 16, Fair, CLR, 16.7, 1.7, 16.7, 2.2, 37%, NA, NA, 76.35, 1017.7, , , 
---
Minute since start, Events per minute
1, 90
2, 96
3, 83
4, 76
5, 76
6, 83
7, 96
8, 91
9, 102
10, 90
11, 67
12, 85
13, 79
14, 109
15, 80
16, 74
17, 85
18, 87
19, 61
20, 109
21, 94
22, 92
23, 66
24, 77
25, 90
26, 91
27, 97
28, 82
29, 77
30, 74
31, 86
32, 89
33, 106
34, 74
35, 88
36, 87
37, 79
38, 77
39, 96
40, 100
41, 89
42, 85
43, 101
44, 100
45, 92
46, 99
47, 75
48, 92
49, 102
50, 82
51, 91
52, 83
53, 82
54, 79
55, 75
56, 81
57, 76
58, 85
59, 72
60, 94
