02/27/21 00:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
27, 00:53, Calm, 16, Fair, CLR, 13.9, 0, , , 39%, NA, NA, 76.02, 1013.4, , , 
---
Incident number, relative time since start, timestamp
1, 0.3086344829062, 2021-02-27 01:00:02.993940
2, 0.8303149869898334, 2021-02-27 01:00:03.515640
3, 1.6647509509930387, 2021-02-27 01:00:04.350076
4, 2.546087957918644, 2021-02-27 01:00:05.231424
5, 4.220155878923833, 2021-02-27 01:00:06.905494
6, 4.507457844913006, 2021-02-27 01:00:07.192798
7, 5.374738400918432, 2021-02-27 01:00:08.060077
8, 6.150114127900451, 2021-02-27 01:00:08.835454
9, 6.254126871936023, 2021-02-27 01:00:08.939465
10, 6.466109469998628, 2021-02-27 01:00:09.151449
11, 8.157970937900245, 2021-02-27 01:00:10.843304
12, 9.185927854967304, 2021-02-27 01:00:11.871267
13, 10.445372401969507, 2021-02-27 01:00:13.130710
14, 12.064470656914636, 2021-02-27 01:00:14.749810
15, 12.869551684940234, 2021-02-27 01:00:15.554892
16, 13.02115755295381, 2021-02-27 01:00:15.706498
17, 14.105707197915763, 2021-02-27 01:00:16.791046
18, 14.250244793947786, 2021-02-27 01:00:16.935585
19, 14.925021342933178, 2021-02-27 01:00:17.610361
20, 15.624882612959482, 2021-02-27 01:00:18.310222
21, 15.673414384946227, 2021-02-27 01:00:18.358755
22, 16.475380843970925, 2021-02-27 01:00:19.160715
23, 16.511026603984646, 2021-02-27 01:00:19.196367
24, 16.551439328934066, 2021-02-27 01:00:19.236780
25, 17.486769616953097, 2021-02-27 01:00:20.172109
26, 17.600265568005852, 2021-02-27 01:00:20.285606
27, 19.459065278992057, 2021-02-27 01:00:22.144401
28, 19.658867592923343, 2021-02-27 01:00:22.344208
29, 20.445772414910607, 2021-02-27 01:00:23.131112
30, 20.818536148988642, 2021-02-27 01:00:23.503876
31, 21.377483680960722, 2021-02-27 01:00:24.062824
32, 22.743754956987686, 2021-02-27 01:00:25.429095
33, 24.54053382400889, 2021-02-27 01:00:27.225871
34, 26.835184301948175, 2021-02-27 01:00:29.520519
35, 26.848345659906045, 2021-02-27 01:00:29.533686
36, 27.12089652195573, 2021-02-27 01:00:29.806237
37, 27.394359606900252, 2021-02-27 01:00:30.079700
38, 28.046893841936253, 2021-02-27 01:00:30.732232
39, 28.82432286592666, 2021-02-27 01:00:31.509663
40, 29.07418755197432, 2021-02-27 01:00:31.759528
41, 29.316197332926095, 2021-02-27 01:00:32.001538
42, 29.798812384949997, 2021-02-27 01:00:32.484144
43, 31.004149918910116, 2021-02-27 01:00:33.689489
44, 31.555644130916335, 2021-02-27 01:00:34.240984
45, 33.72229301196057, 2021-02-27 01:00:36.407633
46, 34.746258527971804, 2021-02-27 01:00:37.431599
47, 35.245147026958875, 2021-02-27 01:00:37.930487
48, 36.11561345192604, 2021-02-27 01:00:38.800950
49, 37.64924559299834, 2021-02-27 01:00:40.334583
50, 37.77459463197738, 2021-02-27 01:00:40.459935
51, 37.80189947900362, 2021-02-27 01:00:40.487240
52, 38.657953975955024, 2021-02-27 01:00:41.343293
53, 39.89401397691108, 2021-02-27 01:00:42.579353
54, 40.28223354590591, 2021-02-27 01:00:42.967574
55, 40.286190524930134, 2021-02-27 01:00:42.971531
56, 40.408165480941534, 2021-02-27 01:00:43.093504
57, 41.5127267469652, 2021-02-27 01:00:44.198063
58, 46.36937410198152, 2021-02-27 01:00:49.054711
59, 46.53313527395949, 2021-02-27 01:00:49.218476
60, 46.562143828952685, 2021-02-27 01:00:49.247484
61, 47.462350590969436, 2021-02-27 01:00:50.147682
62, 47.93383369199, 2021-02-27 01:00:50.619169
63, 49.42872580199037, 2021-02-27 01:00:52.114063
64, 49.76088792795781, 2021-02-27 01:00:52.446228
65, 50.37436682195403, 2021-02-27 01:00:53.059707
66, 51.60058990295511, 2021-02-27 01:00:54.285929
67, 51.60855254600756, 2021-02-27 01:00:54.293893
68, 53.50586263893638, 2021-02-27 01:00:56.191202
69, 53.943704755976796, 2021-02-27 01:00:56.629045
70, 54.23603418294806, 2021-02-27 01:00:56.921373
71, 54.476441532955505, 2021-02-27 01:00:57.161782
72, 54.855997823993675, 2021-02-27 01:00:57.541338
73, 54.88628426101059, 2021-02-27 01:00:57.571625
74, 55.273017173982225, 2021-02-27 01:00:57.958358
75, 55.91281150793657, 2021-02-27 01:00:58.598152
76, 56.56590001296718, 2021-02-27 01:00:59.251240
77, 56.70734222501051, 2021-02-27 01:00:59.392683
78, 57.32642117899377, 2021-02-27 01:01:00.011761
79, 57.39051437494345, 2021-02-27 01:01:00.075855
80, 58.529130915994756, 2021-02-27 01:01:01.214455
81, 59.51559261698276, 2021-02-27 01:01:02.200918
82, 59.638711328967474, 2021-02-27 01:01:02.324051
83, 59.9567845040001, 2021-02-27 01:01:02.642121
84, 60.24144524498843, 2021-02-27 01:01:02.926785
85, 61.10112589795608, 2021-02-27 01:01:03.786465
86, 62.21847921796143, 2021-02-27 01:01:04.903814
87, 62.48336713493336, 2021-02-27 01:01:05.168708
88, 63.42982734495308, 2021-02-27 01:01:06.115166
89, 63.43684532097541, 2021-02-27 01:01:06.122186
90, 63.60966417193413, 2021-02-27 01:01:06.295003
91, 63.75978060695343, 2021-02-27 01:01:06.445121
92, 63.83424047392327, 2021-02-27 01:01:06.519581
93, 64.9138549809577, 2021-02-27 01:01:07.599190
94, 65.78954727191012, 2021-02-27 01:01:08.474887
95, 65.87165436299983, 2021-02-27 01:01:08.556995
96, 66.13813391700387, 2021-02-27 01:01:08.823475
97, 66.2651575349737, 2021-02-27 01:01:08.950498
98, 66.81975217198487, 2021-02-27 01:01:09.505093
99, 67.37004600197542, 2021-02-27 01:01:10.055385
100, 68.48389874200802, 2021-02-27 01:01:11.169238
101, 68.88700280396733, 2021-02-27 01:01:11.572343
102, 69.4441794459708, 2021-02-27 01:01:12.129520
103, 70.28478168800939, 2021-02-27 01:01:12.970119
104, 71.04679391998798, 2021-02-27 01:01:13.732134
105, 72.15886863891501, 2021-02-27 01:01:14.844209
106, 72.75939693092369, 2021-02-27 01:01:15.444737
107, 73.70383297791705, 2021-02-27 01:01:16.389173
108, 74.06988180696499, 2021-02-27 01:01:16.755222
109, 74.9299378239084, 2021-02-27 01:01:17.615276
110, 75.31146022595931, 2021-02-27 01:01:17.996800
111, 77.25052150490228, 2021-02-27 01:01:19.935860
112, 77.7832769129891, 2021-02-27 01:01:20.468617
113, 77.90024002094287, 2021-02-27 01:01:20.585580
114, 81.49718734493945, 2021-02-27 01:01:24.182526
115, 83.41537519299891, 2021-02-27 01:01:26.100715
116, 83.84398337698076, 2021-02-27 01:01:26.529322
117, 83.85044980898965, 2021-02-27 01:01:26.535791
118, 83.91606527194381, 2021-02-27 01:01:26.601406
119, 84.85300757491495, 2021-02-27 01:01:27.538346
120, 85.27188033494167, 2021-02-27 01:01:27.957220
121, 85.81249703792855, 2021-02-27 01:01:28.497837
122, 86.32696196390316, 2021-02-27 01:01:29.012302
123, 86.756412521936, 2021-02-27 01:01:29.441753
124, 86.83201314497273, 2021-02-27 01:01:29.517354
125, 87.2491728279274, 2021-02-27 01:01:29.934513
126, 89.28936359495856, 2021-02-27 01:01:31.974701
127, 89.75128678895999, 2021-02-27 01:01:32.436627
128, 90.49028679693583, 2021-02-27 01:01:33.175626
129, 91.50097479694523, 2021-02-27 01:01:34.186315
130, 91.9489537209738, 2021-02-27 01:01:34.634294
131, 92.03257576492615, 2021-02-27 01:01:34.717916
132, 93.3016356609296, 2021-02-27 01:01:35.986976
133, 93.48606299294624, 2021-02-27 01:01:36.171403
134, 96.6823824539315, 2021-02-27 01:01:39.367721
135, 99.86719165591057, 2021-02-27 01:01:42.552530
136, 100.05263124697376, 2021-02-27 01:01:42.737971
137, 100.72306408896111, 2021-02-27 01:01:43.408404
138, 102.90400738292374, 2021-02-27 01:01:45.589347
139, 103.41957260400523, 2021-02-27 01:01:46.104913
140, 104.2887590599712, 2021-02-27 01:01:46.974099
141, 104.4642712859204, 2021-02-27 01:01:47.149612
142, 104.94877765898127, 2021-02-27 01:01:47.634118
143, 105.43567326292396, 2021-02-27 01:01:48.121013
144, 105.83343213400804, 2021-02-27 01:01:48.518773
145, 106.40676998801064, 2021-02-27 01:01:49.092111
