02/27/21 12:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
27, 12:53, W19, 16, Fair, CLR, 21.7, 3.3, , , 30%, NA, NA, 76, 1013.0, , , 
---
Minute since start, Events per minute
1, 103
2, 95
3, 88
4, 88
5, 98
6, 76
7, 94
8, 71
9, 67
10, 85
11, 84
12, 94
13, 88
14, 72
15, 87
16, 79
17, 69
18, 70
19, 93
20, 82
21, 94
22, 74
23, 76
24, 108
25, 74
26, 89
27, 82
28, 90
29, 78
30, 91
31, 72
32, 93
33, 84
34, 87
35, 94
36, 99
37, 92
38, 79
39, 79
40, 93
41, 81
42, 97
43, 87
44, 80
45, 82
46, 84
47, 68
48, 80
49, 95
50, 88
51, 93
52, 81
53, 87
54, 75
55, 87
56, 76
57, 89
58, 97
59, 95
60, 74
