02/27/21 01:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
27, 01:53, SE5, 16, Fair, CLR, 13.3, -0.6, , , 39%, NA, NA, 76, 1013.1, , , 
---
Minute since start, Events per minute
1, 75
2, 67
3, 98
4, 100
5, 87
6, 81
7, 108
8, 84
9, 79
10, 85
11, 86
12, 83
13, 90
14, 85
15, 82
16, 84
17, 87
18, 78
19, 96
20, 91
21, 107
22, 86
23, 77
24, 90
25, 87
26, 90
27, 75
28, 92
29, 84
30, 91
31, 87
32, 74
33, 103
34, 68
35, 89
36, 91
37, 84
38, 66
39, 93
40, 86
41, 82
42, 86
43, 84
44, 84
45, 95
46, 77
47, 92
48, 76
49, 85
50, 72
51, 73
52, 107
53, 94
54, 79
55, 90
56, 95
57, 87
58, 94
59, 92
60, 93
