02/27/21 21:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
27, 21:53, NE14, 16, Fair, CLR, 15.6, -7.2, 22.8, 13.3, 20%, NA, NA, 76.23, 1016.0, , , 
---
Minute since start, Events per minute
1, 99
2, 70
3, 95
4, 88
5, 99
6, 80
7, 76
8, 80
9, 75
10, 79
11, 71
12, 89
13, 95
14, 93
15, 80
16, 76
17, 96
18, 73
19, 104
20, 79
21, 92
22, 65
23, 85
24, 73
25, 72
26, 85
27, 97
28, 85
29, 79
30, 104
31, 81
32, 76
33, 89
34, 85
35, 96
36, 88
37, 78
38, 86
39, 83
40, 96
41, 83
42, 78
43, 77
44, 81
45, 70
46, 98
47, 86
48, 91
49, 74
50, 88
51, 81
52, 90
53, 76
54, 82
55, 84
56, 99
57, 86
58, 87
59, 91
60, 99
