02/27/21 02:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
27, 03:53, W5, 16, Fair, CLR, 7.2, 0, 16.7, 6.1, 61%, NA, NA, 75.95, 1012.5, , , 
---
Minute since start, Events per minute
1, 93
2, 90
3, 86
4, 78
5, 79
6, 89
7, 81
8, 93
9, 63
10, 80
11, 93
12, 79
13, 85
14, 83
15, 68
16, 82
17, 92
18, 96
19, 86
20, 82
21, 80
22, 82
23, 79
24, 76
25, 91
26, 76
27, 88
28, 73
29, 105
30, 87
31, 82
32, 76
33, 82
34, 89
35, 100
36, 82
37, 82
38, 94
39, 84
40, 91
41, 107
42, 87
43, 71
44, 75
45, 73
46, 81
47, 86
48, 83
49, 82
50, 109
51, 80
52, 75
53, 92
54, 90
55, 91
56, 72
57, 96
58, 69
59, 95
60, 86
