02/27/21 06:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
27, 06:53, Vrbl11G27, 16, Fair, CLR, 13.9, -0.6, , , 37%, NA, NA, 76.05, 1013.7, , , 
---
Incident number, relative time since start, timestamp
1, 2.421818339964375, 2021-02-27 07:00:04.891427
2, 2.525188075029291, 2021-02-27 07:00:04.994837
3, 4.490540059050545, 2021-02-27 07:00:06.960188
4, 5.426505104987882, 2021-02-27 07:00:07.896169
5, 7.040500435046852, 2021-02-27 07:00:09.510157
6, 7.046578187961131, 2021-02-27 07:00:09.516245
7, 7.349245500052348, 2021-02-27 07:00:09.818910
8, 8.799720101989806, 2021-02-27 07:00:11.269377
9, 8.801787598989904, 2021-02-27 07:00:11.271455
10, 8.825723769026808, 2021-02-27 07:00:11.295391
11, 9.779991019051522, 2021-02-27 07:00:12.249655
12, 12.053820424014702, 2021-02-27 07:00:14.523485
13, 12.178835334954783, 2021-02-27 07:00:14.648503
14, 12.358516826061532, 2021-02-27 07:00:14.828183
15, 13.071523195016198, 2021-02-27 07:00:15.541190
16, 13.115299556986429, 2021-02-27 07:00:15.584967
17, 15.367831518989988, 2021-02-27 07:00:17.837496
18, 15.455302244983613, 2021-02-27 07:00:17.924970
19, 16.429552610963583, 2021-02-27 07:00:18.899220
20, 20.82557081396226, 2021-02-27 07:00:23.295236
21, 21.611174472025596, 2021-02-27 07:00:24.080842
22, 21.732870429055765, 2021-02-27 07:00:24.202538
23, 22.17329212895129, 2021-02-27 07:00:24.642960
24, 22.637807608000003, 2021-02-27 07:00:25.107475
25, 24.11992917302996, 2021-02-27 07:00:26.589597
26, 24.8283062040573, 2021-02-27 07:00:27.297974
27, 25.544809152954258, 2021-02-27 07:00:28.014476
28, 26.319571185973473, 2021-02-27 07:00:28.789239
29, 28.364212271058932, 2021-02-27 07:00:30.833876
30, 28.61186230694875, 2021-02-27 07:00:31.081530
31, 28.953464517951943, 2021-02-27 07:00:31.423132
32, 29.396863939007744, 2021-02-27 07:00:31.866532
33, 29.410408271010965, 2021-02-27 07:00:31.880076
34, 29.41542713798117, 2021-02-27 07:00:31.885095
35, 29.986242869053967, 2021-02-27 07:00:32.455910
36, 30.8101661039982, 2021-02-27 07:00:33.279833
37, 32.1552533590002, 2021-02-27 07:00:34.624920
38, 32.79977969103493, 2021-02-27 07:00:35.269447
39, 35.407720854040235, 2021-02-27 07:00:37.877388
40, 35.73748944001272, 2021-02-27 07:00:38.207157
41, 36.76095784001518, 2021-02-27 07:00:39.230625
42, 36.93013818003237, 2021-02-27 07:00:39.399802
43, 38.140503596980125, 2021-02-27 07:00:40.610169
44, 38.53476235200651, 2021-02-27 07:00:41.004429
45, 38.98193197697401, 2021-02-27 07:00:41.451600
46, 39.40615339600481, 2021-02-27 07:00:41.875821
47, 40.70316127804108, 2021-02-27 07:00:43.172827
48, 40.861488493043, 2021-02-27 07:00:43.331156
49, 41.22142551804427, 2021-02-27 07:00:43.691093
50, 41.71207421598956, 2021-02-27 07:00:44.181741
51, 43.25552543299273, 2021-02-27 07:00:45.725189
52, 43.51942774897907, 2021-02-27 07:00:45.989095
53, 43.98199483798817, 2021-02-27 07:00:46.451661
54, 44.80377022502944, 2021-02-27 07:00:47.273437
55, 44.88678251800593, 2021-02-27 07:00:47.356449
56, 46.839818676002324, 2021-02-27 07:00:49.309486
57, 47.10578974802047, 2021-02-27 07:00:49.575457
58, 47.65596113400534, 2021-02-27 07:00:50.125620
59, 49.337187257013284, 2021-02-27 07:00:51.806851
60, 49.473239716026, 2021-02-27 07:00:51.942907
61, 50.18099955399521, 2021-02-27 07:00:52.650667
62, 51.72853163594846, 2021-02-27 07:00:54.198199
63, 52.64027046004776, 2021-02-27 07:00:55.109938
64, 53.173285490018316, 2021-02-27 07:00:55.642953
65, 53.264554291032255, 2021-02-27 07:00:55.734222
66, 53.42338773806114, 2021-02-27 07:00:55.893056
67, 54.39557254803367, 2021-02-27 07:00:56.865240
68, 54.42737091798335, 2021-02-27 07:00:56.897039
69, 54.45394957298413, 2021-02-27 07:00:56.923618
70, 54.46616772701964, 2021-02-27 07:00:56.935836
71, 54.54992952395696, 2021-02-27 07:00:57.019598
72, 55.27910006197635, 2021-02-27 07:00:57.748767
73, 55.72842292301357, 2021-02-27 07:00:58.198091
74, 56.14689332304988, 2021-02-27 07:00:58.616553
75, 57.07602964504622, 2021-02-27 07:00:59.545689
76, 59.89762780605815, 2021-02-27 07:01:02.367281
77, 59.94707204098813, 2021-02-27 07:01:02.416739
78, 60.77437220897991, 2021-02-27 07:01:03.244036
79, 61.12009111803491, 2021-02-27 07:01:03.589758
80, 61.37744426296558, 2021-02-27 07:01:03.847106
81, 62.11671386496164, 2021-02-27 07:01:04.586380
82, 62.35878369305283, 2021-02-27 07:01:04.828451
83, 63.094044685945846, 2021-02-27 07:01:05.563712
84, 63.662849787971936, 2021-02-27 07:01:06.132517
85, 64.83077001804486, 2021-02-27 07:01:07.300431
86, 65.67632116901223, 2021-02-27 07:01:08.145988
87, 66.15073930704966, 2021-02-27 07:01:08.620406
88, 66.3287107750075, 2021-02-27 07:01:08.798378
89, 66.41013407998253, 2021-02-27 07:01:08.879802
90, 66.60826849297155, 2021-02-27 07:01:09.077936
91, 69.06777829804923, 2021-02-27 07:01:11.537436
92, 70.57765513902996, 2021-02-27 07:01:13.047316
93, 71.65196618798655, 2021-02-27 07:01:14.121633
94, 72.67771672597155, 2021-02-27 07:01:15.147384
95, 73.53903498, 2021-02-27 07:01:16.008702
96, 73.95041170099284, 2021-02-27 07:01:16.420077
97, 74.85502365999855, 2021-02-27 07:01:17.324689
98, 75.20339888799936, 2021-02-27 07:01:17.673066
99, 75.26858565304428, 2021-02-27 07:01:17.738254
100, 75.306346370955, 2021-02-27 07:01:17.776014
101, 75.4524374139728, 2021-02-27 07:01:17.922105
102, 75.94240547495428, 2021-02-27 07:01:18.412073
103, 77.3652901359601, 2021-02-27 07:01:19.834957
104, 77.88714389898814, 2021-02-27 07:01:20.356811
105, 78.00714986899402, 2021-02-27 07:01:20.476818
106, 79.16850107698701, 2021-02-27 07:01:21.638168
107, 79.61188101500738, 2021-02-27 07:01:22.081549
108, 79.6935032979818, 2021-02-27 07:01:22.163171
109, 80.28449463902507, 2021-02-27 07:01:22.754162
110, 81.2469306710409, 2021-02-27 07:01:23.716598
111, 81.43818649300374, 2021-02-27 07:01:23.907854
112, 82.24370122805703, 2021-02-27 07:01:24.713369
