02/27/21 08:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
27, 08:53, W8, 16, Fair, CLR, 17.8, 1.1, , , 33%, NA, NA, 76.1, 1014.6, , , 
---
Minute since start, Events per minute
1, 89
2, 100
3, 91
4, 78
5, 97
6, 82
7, 85
8, 79
9, 76
10, 95
11, 93
12, 107
13, 85
14, 88
15, 87
16, 72
17, 81
18, 95
19, 86
20, 81
21, 81
22, 96
23, 87
24, 95
25, 80
26, 83
27, 88
28, 83
29, 69
30, 84
31, 100
32, 100
33, 88
34, 87
35, 97
36, 83
37, 85
38, 88
39, 99
40, 74
41, 91
42, 80
43, 77
44, 75
45, 70
46, 85
47, 78
48, 96
49, 85
50, 81
51, 95
52, 84
53, 90
54, 77
55, 79
56, 80
57, 100
58, 92
59, 70
60, 94
