03/01/21 00:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
01, 00:53, N5, 16, Fair, CLR, 5, -1.7, , , 62%, NA, NA, 76.68, 1022.4, , , 
---
Minute since start, Events per minute
1, 68
2, 87
3, 88
4, 89
5, 81
6, 82
7, 85
8, 78
9, 91
10, 79
11, 81
12, 72
13, 75
14, 71
15, 74
16, 72
17, 98
18, 93
19, 74
20, 72
21, 89
22, 84
23, 82
24, 77
25, 88
26, 73
27, 75
28, 88
29, 84
30, 82
31, 93
32, 53
33, 88
34, 88
35, 90
36, 90
37, 94
38, 78
39, 85
40, 108
41, 99
42, 74
43, 84
44, 74
45, 81
46, 89
47, 87
48, 66
49, 84
50, 87
51, 89
52, 91
53, 104
54, 65
55, 73
56, 97
57, 75
58, 92
59, 83
60, 79
