03/01/21 09:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
01, 09:53, SE13, 16, Fair, CLR, 16.7, -0.6, 16.7, 2.8, 31%, NA, NA, 76.68, 1022.2, , , 
---
Minute since start, Events per minute
1, 82
2, 82
3, 95
4, 88
5, 87
6, 70
7, 85
8, 69
9, 75
10, 95
11, 82
12, 95
13, 78
14, 80
15, 95
16, 93
17, 102
18, 72
19, 84
20, 85
21, 89
22, 68
23, 103
24, 86
25, 82
26, 61
27, 84
28, 85
29, 93
30, 84
31, 111
32, 101
33, 98
34, 72
35, 82
36, 91
37, 88
38, 82
39, 92
40, 100
41, 77
42, 83
43, 83
44, 82
45, 75
46, 70
47, 79
48, 69
49, 80
50, 89
51, 84
52, 73
53, 91
54, 75
55, 84
56, 94
57, 81
58, 84
59, 116
60, 71
