03/01/21 17:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
01, 17:53, SE5, 16, Fair, CLR, 15.6, 0, , , 35%, NA, NA, 76.35, 1017.8, , , 
---
Minute since start, Events per minute
1, 95
2, 86
3, 94
4, 77
5, 71
6, 78
7, 84
8, 79
9, 75
10, 82
11, 97
12, 91
13, 68
14, 83
15, 78
16, 84
17, 102
18, 63
19, 77
20, 98
21, 76
22, 84
23, 79
24, 87
25, 82
26, 74
27, 93
28, 95
29, 93
30, 90
31, 82
32, 71
33, 117
34, 81
35, 89
36, 93
37, 97
38, 79
39, 96
40, 77
41, 95
42, 90
43, 81
44, 65
45, 92
46, 75
47, 100
48, 74
49, 89
50, 93
51, 85
52, 84
53, 87
54, 73
55, 91
56, 91
57, 82
58, 86
59, 89
60, 63
