03/01/21 20:59:01
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
01, 20:53, Calm, 16, Fair, CLR, 7.8, -2.2, , , 50%, NA, NA, 76.35, 1018.0, , , 
---
Minute since start, Events per minute
1, 84
2, 79
3, 88
4, 84
5, 75
6, 84
7, 90
8, 74
9, 82
10, 102
11, 86
12, 85
13, 88
14, 92
15, 83
16, 73
17, 74
18, 102
19, 83
20, 91
21, 80
22, 82
23, 80
24, 83
25, 89
26, 80
27, 97
28, 88
29, 89
30, 76
31, 80
32, 86
33, 84
34, 89
35, 86
36, 77
37, 92
38, 76
39, 94
40, 79
41, 84
42, 79
43, 77
44, 82
45, 89
46, 72
47, 70
48, 71
49, 82
50, 77
51, 91
52, 95
53, 84
54, 83
55, 71
56, 88
57, 82
58, 65
59, 79
60, 74
