03/01/21 08:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
01, 08:53, SE13, 16, Fair, CLR, 16.1, -1.1, , , 31%, NA, NA, 76.68, 1022.3, , , 
---
Minute since start, Events per minute
1, 81
2, 67
3, 88
4, 75
5, 89
6, 95
7, 89
8, 98
9, 77
10, 72
11, 89
12, 87
13, 83
14, 92
15, 87
16, 79
17, 90
18, 93
19, 91
20, 85
21, 88
22, 87
23, 82
24, 100
25, 76
26, 72
27, 81
28, 82
29, 90
30, 97
31, 94
32, 80
33, 78
34, 88
35, 63
36, 109
37, 78
38, 87
39, 84
40, 95
41, 91
42, 97
43, 87
44, 97
45, 79
46, 91
47, 78
48, 75
49, 81
50, 72
51, 78
52, 79
53, 84
54, 88
55, 90
56, 87
57, 92
58, 96
59, 73
60, 86
