03/02/21 00:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
02, 00:53, NE5, 16, Fair, CLR, 5.6, -3.3, , , 53%, NA, NA, 76.3, 1017.1, , , 
---
Minute since start, Events per minute
1, 64
2, 85
3, 81
4, 80
5, 80
6, 90
7, 83
8, 90
9, 81
10, 119
11, 81
12, 76
13, 76
14, 92
15, 85
16, 97
17, 89
18, 97
19, 88
20, 81
21, 90
22, 89
23, 85
24, 85
25, 80
26, 84
27, 76
28, 93
29, 101
30, 107
31, 99
32, 99
33, 77
34, 91
35, 77
36, 69
37, 81
38, 68
39, 86
40, 85
41, 93
42, 92
43, 83
44, 98
45, 98
46, 70
47, 99
48, 71
49, 97
50, 104
51, 105
52, 78
53, 85
54, 73
55, 86
56, 80
57, 90
58, 79
59, 90
60, 85
