03/02/21 00:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
02, 00:53, NE5, 16, Fair, CLR, 5.6, -3.3, , , 53%, NA, NA, 76.3, 1017.1, , , 
---
Incident number, relative time since start, timestamp
1, 1.0518398489803076, 2021-03-02 01:00:03.157672
2, 1.5921096550300717, 2021-03-02 01:00:03.697976
3, 2.27126802993007, 2021-03-02 01:00:04.377137
4, 2.4583382150158286, 2021-03-02 01:00:04.564223
5, 2.767328827874735, 2021-03-02 01:00:04.873215
6, 5.624375764047727, 2021-03-02 01:00:07.730250
7, 5.695155842928216, 2021-03-02 01:00:07.801042
8, 6.980310882907361, 2021-03-02 01:00:09.086194
9, 7.030848941998556, 2021-03-02 01:00:09.136736
10, 7.823928539874032, 2021-03-02 01:00:09.929814
11, 8.972679793834686, 2021-03-02 01:00:11.078558
12, 9.200626595877111, 2021-03-02 01:00:11.306513
13, 9.558606850914657, 2021-03-02 01:00:11.664493
14, 10.36176393693313, 2021-03-02 01:00:12.467645
15, 10.39677351899445, 2021-03-02 01:00:12.502661
16, 11.495610798941925, 2021-03-02 01:00:13.601497
17, 11.947311216965318, 2021-03-02 01:00:14.053198
18, 12.62653806596063, 2021-03-02 01:00:14.732425
19, 13.435595514019951, 2021-03-02 01:00:15.541479
20, 14.736658352892846, 2021-03-02 01:00:16.842541
21, 15.140031561022624, 2021-03-02 01:00:17.245918
22, 15.82653286587447, 2021-03-02 01:00:17.932420
23, 15.879151483997703, 2021-03-02 01:00:17.985039
24, 15.919555022846907, 2021-03-02 01:00:18.025443
25, 17.82922792597674, 2021-03-02 01:00:19.935109
26, 19.816800683969632, 2021-03-02 01:00:21.922685
27, 21.497945431852713, 2021-03-02 01:00:23.603826
28, 22.82108947588131, 2021-03-02 01:00:24.926969
29, 22.87193924887106, 2021-03-02 01:00:24.977827
30, 23.342634077882394, 2021-03-02 01:00:25.448521
31, 23.52556803985499, 2021-03-02 01:00:25.631454
32, 23.868168749846518, 2021-03-02 01:00:25.974055
33, 24.489890208933502, 2021-03-02 01:00:26.595777
34, 24.699359983904287, 2021-03-02 01:00:26.805247
35, 27.38995795091614, 2021-03-02 01:00:29.495837
36, 28.644444847945124, 2021-03-02 01:00:30.750331
37, 29.103011155035347, 2021-03-02 01:00:31.208898
38, 31.348099838010967, 2021-03-02 01:00:33.453986
