03/02/21 09:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
02, 09:53, W14, 16, Fair, CLR, 15, 5, 15.6, 2.2, 51%, NA, NA, 76.1, 1014.4, , , 
---
Minute since start, Events per minute
1, 89
2, 91
3, 85
4, 110
5, 89
6, 95
7, 85
8, 70
9, 91
10, 73
11, 91
12, 90
13, 87
14, 85
15, 88
16, 104
17, 83
18, 77
19, 92
20, 86
21, 88
22, 74
23, 89
24, 80
25, 80
26, 66
27, 107
28, 105
29, 94
30, 72
31, 78
32, 87
33, 79
34, 81
35, 101
36, 96
37, 88
38, 91
39, 83
40, 82
41, 90
42, 78
43, 95
44, 101
45, 101
46, 84
47, 96
48, 74
49, 73
50, 71
51, 89
52, 67
53, 88
54, 93
55, 80
56, 98
57, 76
58, 72
59, 85
60, 89
