03/02/21 11:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
02, 11:53, SW13, 16, Fair, CLR, 17.2, 6.1, , , 48%, NA, NA, 76, 1013.2, , , 
---
Minute since start, Events per minute
1, 84
2, 104
3, 85
4, 95
5, 91
6, 99
7, 72
8, 78
9, 80
10, 90
11, 107
12, 88
13, 84
14, 93
15, 88
16, 73
17, 88
18, 71
19, 104
20, 84
21, 86
22, 72
23, 88
24, 101
25, 91
26, 79
27, 75
28, 86
29, 82
30, 75
31, 76
32, 79
33, 87
34, 88
35, 91
36, 85
37, 84
38, 84
39, 105
40, 91
41, 88
42, 78
43, 95
44, 99
45, 82
46, 99
47, 84
48, 81
49, 90
50, 89
51, 85
52, 87
53, 76
54, 104
55, 74
56, 85
57, 100
58, 91
59, 87
60, 83
