03/02/21 17:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
02, 17:53, W13, 16, Partly Cloudy, SCT200, 12.2, 8.3, , , 77%, NA, NA, 75.77, 1010.2, , , 
---
Minute since start, Events per minute
1, 83
2, 93
3, 68
4, 73
5, 87
6, 91
7, 63
8, 94
9, 92
10, 85
11, 88
12, 96
13, 89
14, 76
15, 88
16, 81
17, 99
18, 89
19, 100
20, 76
21, 89
22, 65
23, 72
24, 93
25, 99
26, 72
27, 83
28, 74
29, 78
30, 67
31, 83
32, 82
33, 80
34, 83
35, 84
36, 77
37, 76
38, 87
39, 86
40, 96
41, 91
42, 103
43, 85
44, 71
45, 90
46, 92
47, 92
48, 88
49, 86
50, 65
51, 102
52, 94
53, 94
54, 78
55, 85
56, 85
57, 89
58, 99
59, 79
60, 91
