03/02/21 03:59:02
Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm)
02, 03:53, Calm, 16, Fair, CLR, 3.9, -2.8, 7.2, 2.8, 62%, NA, NA, 76.15, 1015.1, , , 
---
Minute since start, Events per minute
1, 91
2, 90
3, 86
4, 98
5, 93
6, 93
7, 92
8, 74
9, 79
10, 88
11, 90
12, 74
13, 76
14, 91
15, 73
16, 72
17, 89
18, 93
19, 99
20, 79
21, 90
22, 86
23, 75
24, 83
25, 95
26, 87
27, 72
28, 86
29, 97
30, 96
31, 91
32, 85
33, 85
34, 71
35, 96
36, 102
37, 96
38, 111
39, 75
40, 82
41, 97
42, 106
43, 74
44, 87
45, 74
46, 97
47, 92
48, 87
49, 72
50, 87
51, 95
52, 89
53, 104
54, 82
55, 80
56, 89
57, 71
58, 70
59, 74
60, 84
